"Fluent","Designer","studyid","test_1_lexical_1","test_1_lexical_2","test_1_lexical_3","test_1_lexical_4","test_1_lexical_5","test_1_lexical_6","test_1_lexical_7","test_1_lexical_8","test_1_lexical_9","test_1_lexical_10","test_1_lexical_11","test_1_lexical_12","test_1_lexical_13","test_1_lexical_14","test_1_lexical_15","test_1_lexical_16","test_1_lexical_17","test_1_lexical_18","test_1_lexical_19","test_1_lexical_20","test_1_remember","test_1_legibility","test_1_recognition_1","test_1_recognition_2","test_1_recognition_3","test_1_recognition_4","test_1_recognition_5","test_1_recognition_6","test_1_recognition_7","test_1_recognition_8","test_1_recognition_9","test_1_recognition_10","test_1_recognition_11","test_1_recognition_12","test_1_recognition_13","test_1_recognition_14","test_1_recognition_15","test_1_recognition_16","test_2_lexical_1","test_2_lexical_2","test_2_lexical_3","test_2_lexical_4","test_2_lexical_5","test_2_lexical_6","test_2_lexical_7","test_2_lexical_8","test_2_lexical_9","test_2_lexical_10","test_2_lexical_11","test_2_lexical_12","test_2_lexical_13","test_2_lexical_14","test_2_lexical_15","test_2_lexical_16","test_2_lexical_17","test_2_lexical_18","test_2_lexical_19","test_2_lexical_20","test_2_remember","test_2_legibility","test_2_recognition_1","test_2_recognition_2","test_2_recognition_3","test_2_recognition_4","test_2_recognition_5","test_2_recognition_6","test_2_recognition_7","test_2_recognition_8","test_2_recognition_9","test_2_recognition_10","test_2_recognition_11","test_2_recognition_12","test_2_recognition_13","test_2_recognition_14","test_2_recognition_15","test_2_recognition_16","",""
"no","Non-designer","1","arial, non-word, reclapian, Probably non-word, 11339","arial, word, seemed, Probably non-word, 13517","arial, non-word, eviderood, Probably non-word, 3175","arial, non-word, discomision, Probably word, 4253","arial, non-word, wationation, Probably non-word, 6745","arial, non-word, refectuning, Probably non-word, 6007","arial, word, whole, Probably word, 3119","arial, word, master, Sure word, 3192","arial, word, potential, Sure word, 13325","arial, word, north, Sure word, 4997","arial, non-word, descussed, Probably word, 7917","arial, non-word, pritain, Probably non-word, 8268","arial, word, relatively, Probably word, 4661","arial, word, college, Sure word, 9905","arial, word, housing, Sure word, 6335","arial, non-word, upbelf, Probably word, 3306","arial, non-word, increasion, Probably word, 2843","arial, word, large, Sure word, 2850","arial, word, maybe, Sure word, 4807","arial, non-word, corspention, Probably word, 6276","1","easy to read","arial, word, north, seen, north, Sure seen, 8533","arial, non-word, recoughous, non-seen, reclapian, Probably seen, 3706","arial, word, sense, non-seen, seemed, Sure not seen, 4478","arial, non-word, refectuning, seen, refectuning, Sure seen, 5268","arial, non-word, descussed, seen, descussed, Sure seen, 2769","arial, word, housing, seen, housing, Sure seen, 1162","arial, non-word, upties, non-seen, upbelf, Sure not seen, 3583","arial, non-word, discomision, seen, discomision, Probably seen, 2764","arial, word, match, non-seen, master, Sure not seen, 2635","arial, word, colonel, non-seen, college, Probably not seen, 4465","arial, word, largely, non-seen, large, Sure not seen, 3505","arial, non-word, wationation, seen, wationation, Sure not seen, 5216","arial, non-word, exaggetent, non-seen, eviderood, Sure not seen, 2564","arial, non-word, couled, non-seen, corspention, Sure not seen, 2851","arial, word, relatively, seen, relatively, Probably seen, 3448","arial, word, maybe, seen, maybe, Sure seen, 1501","sansforgetica, word, words, Sure word, 10287","sansforgetica, non-word, hysturably, Probably word, 3709","sansforgetica, non-word, condamenced, Probably word, 4437","sansforgetica, word, fight, Sure word, 2206","sansforgetica, word, necessary, Sure word, 2963","sansforgetica, word, forget, Sure word, 3125","sansforgetica, word, breakfast, Sure word, 6205","sansforgetica, non-word, minalry, Probably word, 6799","sansforgetica, non-word, lithin, Sure word, 3158","sansforgetica, non-word, empefic, Probably non-word, 5412","sansforgetica, non-word, thrughts, Probably non-word, 3834","sansforgetica, word, civil, Sure word, 2148","sansforgetica, word, spite, Sure word, 1865","sansforgetica, word, create, Sure word, 1583","sansforgetica, word, babies, Sure word, 3537","sansforgetica, non-word, penerer, Probably non-word, 3034","sansforgetica, non-word, trevation, Probably non-word, 2598","sansforgetica, non-word, valeamer, Probably non-word, 3204","sansforgetica, word, structure, Sure word, 2666","sansforgetica, non-word, collainess, Probably word, 4268","7","difficult to read","sansforgetica, word, breath, non-seen, breakfast, Sure not seen, 5479","sansforgetica, word, fighting, non-seen, fight, Sure not seen, 1944","sansforgetica, word, structure, seen, structure, Sure seen, 2339","sansforgetica, non-word, collainess, seen, collainess, Sure seen, 2217","sansforgetica, non-word, minalry, seen, minalry, Sure seen, 1911","sansforgetica, word, spoke, non-seen, spite, Sure not seen, 3704","sansforgetica, non-word, condiers, non-seen, condamenced, Probably not seen, 2583","sansforgetica, non-word, pentifical, non-seen, penerer, Probably not seen, 2082","sansforgetica, non-word, empefic, seen, empefic, Sure seen, 2032","sansforgetica, word, civil, seen, civil, Sure seen, 1219","sansforgetica, word, forget, seen, forget, Sure seen, 1012","sansforgetica, non-word, thurning, non-seen, thrughts, Probably seen, 4197","sansforgetica, non-word, hysturably, seen, hysturably, Sure seen, 2923","sansforgetica, non-word, truced, non-seen, trevation, Probably not seen, 2459","sansforgetica, word, badly, non-seen, babies, Sure not seen, 2767","sansforgetica, word, necessary, seen, necessary, Sure seen, 2025","2554441","30-04-2019 19:06"
"yes","Graphic designer","1","arial, non-word, chaped, Sure word, 2544","arial, non-word, uncregately, Sure non-word, 5907","arial, word, itself, Sure word, 1608","arial, word, hills, Sure word, 1237","arial, word, pointed, Sure word, 1271","arial, word, trust, Sure word, 1148","arial, word, happy, Sure word, 1225","arial, non-word, meade, Probably word, 2509","arial, non-word, herhaps, Sure non-word, 3859","arial, word, besides, Sure word, 1361","arial, non-word, thembling, Probably word, 4073","arial, word, saying, Sure word, 1080","arial, word, within, Sure word, 1024","arial, word, nobody, Sure word, 956","arial, non-word, incriance, Probably non-word, 6086","arial, non-word, invironable, Sure non-word, 2115","arial, non-word, peoped, Sure non-word, 1879","arial, non-word, examitional, Sure non-word, 2583","arial, non-word, neiminate, Probably non-word, 4732","arial, word, effective, Sure word, 1887","60","very easy to read","arial, non-word, examped, non-seen, examitional, Sure not seen, 3587","arial, word, without, non-seen, within, Sure not seen, 2779","arial, word, saying, seen, saying, Sure seen, 1462","arial, non-word, peoped, seen, peoped, Sure seen, 1822","arial, word, pointed, seen, pointed, Sure seen, 1116","arial, non-word, chaped, seen, chaped, Sure seen, 1303","arial, non-word, invironment, non-seen, invironable, Sure not seen, 3657","arial, non-word, neiting, non-seen, neiminate, Sure not seen, 1203","arial, word, happy, seen, happy, Sure seen, 1216","arial, word, himself, non-seen, hills, Sure not seen, 1372","arial, non-word, meade, seen, meade, Sure seen, 1260","arial, word, nodded, non-seen, nobody, Sure not seen, 1518","arial, word, trust, seen, trust, Sure seen, 1036","arial, non-word, inderected, non-seen, incriance, Sure not seen, 2993","arial, non-word, herhaps, seen, herhaps, Sure seen, 1238","arial, word, better, non-seen, besides, Sure not seen, 2744","sansforgetica, non-word, furnion, Sure non-word, 5943","sansforgetica, non-word, tempriation, Sure non-word, 6117","sansforgetica, non-word, necressor, Sure non-word, 4916","sansforgetica, word, women, Sure word, 1543","sansforgetica, word, children, Sure word, 752","sansforgetica, word, planning, Sure word, 1204","sansforgetica, word, purpose, Sure word, 1068","sansforgetica, non-word, perietail, Probably non-word, 4197","sansforgetica, non-word, incormately, Sure non-word, 6311","sansforgetica, word, appearance, Sure word, 1856","sansforgetica, non-word, discomision, Probably word, 4648","sansforgetica, non-word, miney, Sure non-word, 3464","sansforgetica, word, plain, Sure word, 1259","sansforgetica, word, president, Sure word, 1294","sansforgetica, word, signs, Sure word, 1082","sansforgetica, non-word, larms, Sure non-word, 4712","sansforgetica, non-word, likelf, Sure non-word, 2951","sansforgetica, word, beginning, Sure word, 1448","sansforgetica, word, catch, Sure word, 990","sansforgetica, non-word, lonnot, Sure non-word, 2283","100","ok","sansforgetica, non-word, lonour, non-seen, lonnot, Sure not seen, 6435","sansforgetica, non-word, tempriation, seen, tempriation, Sure seen, 1991","sansforgetica, non-word, perietail, seen, perietail, Sure not seen, 2722","sansforgetica, word, places, non-seen, plain, Sure not seen, 1397","sansforgetica, word, women, seen, women, Sure seen, 1686","sansforgetica, non-word, lational, non-seen, larms, Sure not seen, 1981","sansforgetica, word, approach, non-seen, appearance, Sure not seen, 1495","sansforgetica, non-word, neeld, non-seen, necressor, Sure not seen, 1710","sansforgetica, word, silence, non-seen, signs, Sure not seen, 1127","sansforgetica, non-word, miney, seen, miney, Sure seen, 1393","sansforgetica, word, plans, non-seen, planning, Sure seen, 855","sansforgetica, word, children, seen, children, Sure seen, 731","sansforgetica, word, purpose, seen, purpose, Sure seen, 1024","sansforgetica, word, catch, seen, catch, Sure seen, 979","sansforgetica, non-word, discoverent, non-seen, discomision, Probably not seen, 6234","sansforgetica, non-word, likelf, seen, likelf, Probably not seen, 1427","2554403","30-04-2019 19:03"
"no","Graphic designer","1","arial, non-word, lational, Probably word, 3143","arial, word, actual, Sure word, 2139","arial, non-word, drestion, Sure non-word, 2915","arial, non-word, catuirented, Sure non-word, 3199","arial, non-word, dissehons, Sure non-word, 2829","arial, word, different, Sure word, 2803","arial, word, since, Sure word, 1690","arial, non-word, distecties, Probably non-word, 2369","arial, word, water, Sure word, 1645","arial, word, falling, Sure word, 1600","arial, word, studies, Sure word, 1866","arial, non-word, roaked, Probably non-word, 2634","arial, word, discovered, Sure word, 1749","arial, word, hands, Sure word, 1469","arial, non-word, mothortere, Probably non-word, 3120","arial, non-word, convence, Sure non-word, 3206","arial, non-word, folitties, Probably word, 3550","arial, word, reported, Sure word, 1675","arial, non-word, rementable, Probably non-word, 2660","arial, word, weeks, Sure word, 1603","22","ok","arial, word, familiar, non-seen, falling, Sure not seen, 5263","arial, non-word, distecties, seen, distecties, Probably seen, 3385","arial, word, hands, seen, hands, Sure seen, 1405","arial, word, actual, seen, actual, Sure seen, 1499","arial, word, discussed, non-seen, discovered, Probably not seen, 3266","arial, non-word, remernal, non-seen, rementable, Sure not seen, 2169","arial, word, water, seen, water, Sure seen, 1649","arial, word, since, seen, since, Sure seen, 1345","arial, non-word, motter, non-seen, mothortere, Sure not seen, 1863","arial, non-word, catuirented, seen, catuirented, Sure seen, 3620","arial, non-word, folitties, seen, folitties, Sure seen, 2019","arial, non-word, romoting, non-seen, roaked, Sure not seen, 2073","arial, non-word, laucied, non-seen, lational, Sure not seen, 2060","arial, word, weight, non-seen, weeks, Sure not seen, 1869","arial, word, difficulty, non-seen, different, Sure not seen, 1795","arial, non-word, dissehons, seen, dissehons, Sure not seen, 2430","sansforgetica, word, condition, Sure word, 3225","sansforgetica, word, central, Sure word, 3044","sansforgetica, non-word, pritain, Probably non-word, 2671","sansforgetica, non-word, sacusaned, Sure non-word, 1894","sansforgetica, non-word, holts, Sure non-word, 2698","sansforgetica, word, earlier, Sure word, 3741","sansforgetica, word, friendly, Sure word, 1205","sansforgetica, word, outside, Sure word, 1914","sansforgetica, non-word, darrity, Probably non-word, 1855","sansforgetica, non-word, remernal, Sure non-word, 2370","sansforgetica, word, always, Sure word, 1250","sansforgetica, non-word, burropright, Sure non-word, 1833","sansforgetica, non-word, linally, Sure non-word, 1719","sansforgetica, word, research, Sure word, 2424","sansforgetica, non-word, varlies, Probably non-word, 2084","sansforgetica, non-word, primals, Probably non-word, 2796","sansforgetica, word, addition, Sure word, 1653","sansforgetica, word, alone, Sure word, 1190","sansforgetica, non-word, enorming, Probably non-word, 3510","sansforgetica, word, extremely, Sure word, 2415","20","difficult to read","sansforgetica, word, central, seen, central, Sure seen, 2164","sansforgetica, non-word, darrity, seen, darrity, Probably seen, 4010","sansforgetica, non-word, sancerats, non-seen, sacusaned, Sure not seen, 2557","sansforgetica, non-word, enound, non-seen, enorming, Sure not seen, 1212","sansforgetica, word, extremely, seen, extremely, Sure seen, 1626","sansforgetica, word, addition, seen, addition, Probably not seen, 2307","sansforgetica, word, resources, non-seen, research, Sure not seen, 2423","sansforgetica, word, along, non-seen, alone, Sure not seen, 3094","sansforgetica, non-word, pritain, seen, pritain, Sure seen, 1906","sansforgetica, non-word, remernal, seen, remernal, Sure seen, 1413","sansforgetica, word, object, non-seen, outside, Sure not seen, 1619","sansforgetica, non-word, primals, seen, primals, Sure seen, 1598","sansforgetica, non-word, linangently, non-seen, linally, Probably not seen, 1585","sansforgetica, non-word, busitown, non-seen, burropright, Sure not seen, 2672","sansforgetica, word, earlier, seen, earlier, Sure seen, 1577","sansforgetica, word, among, non-seen, always, Sure not seen, 1457","2554381","30-04-2019 19:02"
"no","Graphic designer","1","arial, word, absolutely, Sure word, 2870","arial, non-word, behausion, Probably non-word, 3724","arial, non-word, imputives, Probably non-word, 2688","arial, non-word, minsuit, Probably non-word, 2205","arial, non-word, brummitic, Sure non-word, 1653","arial, word, progress, Sure word, 1306","arial, non-word, legan, Probably non-word, 2857","arial, word, throughout, Sure word, 2554","arial, non-word, occational, Probably word, 6007","arial, non-word, forwared, Sure non-word, 2307","arial, word, strike, Sure word, 1665","arial, word, resources, Sure word, 3127","arial, non-word, distected, Sure word, 3330","arial, word, species, Sure word, 1733","arial, word, needed, Sure word, 1338","arial, word, million, Sure word, 1518","arial, word, front, Sure word, 1138","arial, word, expected, Sure word, 1506","arial, non-word, indesphant, Probably non-word, 2161","arial, non-word, dearn, Probably non-word, 2970","50","easy to read","arial, non-word, occational, seen, occational, Sure seen, 5771","arial, non-word, legan, seen, legan, Sure seen, 1563","arial, non-word, dearn, seen, dearn, Sure seen, 1069","arial, non-word, foundenced, non-seen, forwared, Sure not seen, 3262","arial, word, minister, non-seen, million, Sure not seen, 1295","arial, non-word, burropretic, non-seen, brummitic, Sure not seen, 978","arial, non-word, indifferely, non-seen, indesphant, Sure not seen, 1225","arial, non-word, behausion, seen, behausion, Sure not seen, 2127","arial, word, progress, seen, progress, Sure seen, 1553","arial, word, front, seen, front, Sure seen, 1046","arial, word, expected, seen, expected, Sure seen, 878","arial, word, respect, non-seen, resources, Sure seen, 1125","arial, word, strike, seen, strike, Sure seen, 854","arial, word, accepted, non-seen, absolutely, Probably seen, 2015","arial, non-word, incogering, non-seen, imputives, Sure not seen, 2187","arial, word, speech, non-seen, species, Sure not seen, 1751","sansforgetica, word, formal, Sure word, 3184","sansforgetica, word, carry, Sure word, 1755","sansforgetica, word, special, Sure word, 1654","sansforgetica, non-word, couster, Probably word, 5200","sansforgetica, word, opened, Sure word, 1527","sansforgetica, word, setting, Sure word, 2453","sansforgetica, word, western, Sure word, 1395","sansforgetica, word, afraid, Sure word, 1327","sansforgetica, non-word, trads, Probably non-word, 3378","sansforgetica, non-word, autteuvrity, Probably non-word, 1552","sansforgetica, non-word, consiously, Sure word, 1720","sansforgetica, word, confidence, Sure word, 1394","sansforgetica, word, research, Sure word, 3803","sansforgetica, non-word, affent, Probably non-word, 2431","sansforgetica, non-word, undusteers, Probably non-word, 2303","sansforgetica, word, defence, Sure word, 1770","sansforgetica, non-word, underation, Probably non-word, 3027","sansforgetica, non-word, centent, Probably word, 4373","sansforgetica, non-word, shouction, Probably word, 2826","sansforgetica, non-word, becend, Probably word, 1901","50","difficult to read","sansforgetica, non-word, shough, non-seen, shouction, Sure not seen, 1743","sansforgetica, word, settled, non-seen, setting, Sure not seen, 2386","sansforgetica, non-word, auttlefites, non-seen, autteuvrity, Probably not seen, 4612","sansforgetica, non-word, becieve, non-seen, becend, Sure not seen, 1900","sansforgetica, word, western, seen, western, Sure seen, 1508","sansforgetica, non-word, affent, seen, affent, Sure not seen, 3733","sansforgetica, word, speaking, non-seen, special, Sure not seen, 2691","sansforgetica, word, research, seen, research, Sure seen, 1318","sansforgetica, word, after, non-seen, afraid, Probably seen, 2914","sansforgetica, word, opened, seen, opened, Probably seen, 2113","sansforgetica, non-word, underation, seen, underation, Probably seen, 3241","sansforgetica, non-word, undusteers, seen, undusteers, Sure seen, 3308","sansforgetica, non-word, consiously, seen, consiously, Sure seen, 1912","sansforgetica, non-word, centoment, non-seen, centent, Sure not seen, 2294","sansforgetica, word, considered, non-seen, confidence, Probably seen, 3342","sansforgetica, word, carry, seen, carry, Sure seen, 1237","2554378","30-04-2019 19:02"
"yes","Graphic designer","1","arial, non-word, brease, Sure word, 2428","arial, word, airport, Sure word, 1484","arial, word, actually, Sure word, 1435","arial, word, areas, Sure word, 1834","arial, word, surely, Sure word, 997","arial, non-word, nords, Probably non-word, 6277","arial, non-word, easide, Sure non-word, 4209","arial, word, promised, Sure word, 1971","arial, word, earth, Sure word, 1853","arial, word, association, Sure word, 1434","arial, word, blood, Sure word, 1048","arial, non-word, numals, Sure non-word, 5991","arial, non-word, ultomobile, Sure non-word, 3597","arial, word, lovely, Sure word, 1634","arial, non-word, momeons, Probably non-word, 4498","arial, word, deeply, Sure word, 1582","arial, non-word, guarpapers, Probably non-word, 3826","arial, non-word, caughtly, Probably word, 9984","arial, non-word, unwitituted, Sure non-word, 3073","arial, non-word, mingine, Probably word, 4052","70","easy to read","arial, non-word, brevided, non-seen, brease, Sure not seen, 6409","arial, non-word, nords, seen, nords, Sure seen, 2472","arial, word, proper, non-seen, promised, Probably not seen, 6404","arial, non-word, guarpapers, seen, guarpapers, Sure seen, 2490","arial, non-word, momorned, non-seen, momeons, Probably not seen, 8943","arial, word, surface, non-seen, surely, Sure seen, 3856","arial, word, lower, non-seen, lovely, Sure not seen, 3032","arial, non-word, upbelf, non-seen, unwitituted, Sure not seen, 2594","arial, word, earth, seen, earth, Sure seen, 1762","arial, word, board, non-seen, blood, Sure not seen, 2760","arial, non-word, ultomobile, seen, ultomobile, Sure seen, 2056","arial, word, airport, seen, airport, Sure seen, 1306","arial, word, deeply, seen, deeply, Probably not seen, 5899","arial, non-word, mingine, seen, mingine, Sure seen, 2225","arial, non-word, eassed, non-seen, easide, Sure not seen, 4010","arial, word, areas, seen, areas, Sure seen, 1916","sansforgetica, non-word, prosequents, Probably word, 4923","sansforgetica, non-word, likelf, Sure non-word, 5157","sansforgetica, word, private, Sure word, 1771","sansforgetica, non-word, arges, Probably non-word, 3646","sansforgetica, word, start, Sure word, 1674","sansforgetica, word, theory, Sure word, 1924","sansforgetica, word, somehow, Sure word, 1965","sansforgetica, non-word, sheir, Probably word, 3475","sansforgetica, word, square, Sure word, 1370","sansforgetica, word, found, Sure word, 1032","sansforgetica, word, captain, Sure word, 1124","sansforgetica, non-word, pollowing, Probably non-word, 4317","sansforgetica, word, leaves, Sure word, 1924","sansforgetica, non-word, considenon, Sure non-word, 4649","sansforgetica, word, immediately, Sure word, 1899","sansforgetica, non-word, indifferely, Sure non-word, 3617","sansforgetica, non-word, childred, Sure non-word, 3767","sansforgetica, non-word, repreased, Probably word, 4195","sansforgetica, non-word, sucling, Probably non-word, 2463","sansforgetica, word, within, Sure word, 1900","65","difficult to read","sansforgetica, word, leaves, seen, leaves, Sure seen, 2586","sansforgetica, word, statement, non-seen, start, Sure not seen, 4818","sansforgetica, word, therefore, non-seen, theory, Sure not seen, 1530","sansforgetica, word, within, seen, within, Sure seen, 1746","sansforgetica, non-word, cittes, non-seen, childred, Sure not seen, 3482","sansforgetica, word, importance, non-seen, immediately, Sure not seen, 3388","sansforgetica, non-word, arould, non-seen, arges, Sure not seen, 1715","sansforgetica, non-word, individered, non-seen, indifferely, Sure seen, 2384","sansforgetica, word, somehow, seen, somehow, Probably seen, 3112","sansforgetica, non-word, considenon, seen, considenon, Sure seen, 2215","sansforgetica, non-word, linally, non-seen, likelf, Sure not seen, 2814","sansforgetica, non-word, sheir, seen, sheir, Sure seen, 1786","sansforgetica, non-word, pollowing, seen, pollowing, Sure seen, 1637","sansforgetica, word, career, non-seen, captain, Probably seen, 3930","sansforgetica, non-word, sucling, seen, sucling, Sure seen, 1823","sansforgetica, word, found, seen, found, Probably not seen, 1942","2554265","30-04-2019 18:49"
"yes","Other designer","1","arial, word, early, Sure word, 2041","arial, word, determined, Sure word, 3385","arial, word, actually, Sure word, 2669","arial, non-word, polloways, Probably non-word, 15812","arial, non-word, alrence, Probably word, 6957","arial, word, besides, Sure word, 2195","arial, non-word, mobiever, Probably non-word, 4462","arial, non-word, mothortere, Probably non-word, 5237","arial, non-word, impording, Sure non-word, 6899","arial, word, court, Sure word, 2047","arial, word, centre, Sure word, 1701","arial, non-word, villsite, Probably non-word, 5465","arial, word, friend, Sure word, 1537","arial, non-word, mothorate, Sure non-word, 3038","arial, non-word, verving, Sure non-word, 4484","arial, word, reasons, Sure word, 1844","arial, word, feelings, Sure word, 1546","arial, non-word, natender, Sure non-word, 3625","arial, word, accident, Sure word, 1730","arial, non-word, hamething, Sure non-word, 4271","79","very easy to read","arial, non-word, alteriously, non-seen, alrence, Sure not seen, 6715","arial, word, determined, seen, determined, Sure seen, 1981","arial, non-word, motter, non-seen, mothortere, Sure not seen, 4599","arial, non-word, hamething, seen, hamething, Probably seen, 6041","arial, word, according, non-seen, accident, Sure not seen, 3145","arial, non-word, natender, seen, natender, Sure seen, 3113","arial, non-word, impording, seen, impording, Sure seen, 2258","arial, word, centre, seen, centre, Sure seen, 1502","arial, non-word, polloways, seen, polloways, Sure seen, 1773","arial, word, reasons, seen, reasons, Sure seen, 1594","arial, word, friendly, non-seen, friend, Sure not seen, 2938","arial, word, added, non-seen, actually, Sure not seen, 1919","arial, non-word, victurs, non-seen, verving, Sure not seen, 1673","arial, word, early, seen, early, Sure seen, 1952","arial, non-word, violetic, non-seen, villsite, Sure not seen, 2896","arial, word, better, non-seen, besides, Sure not seen, 2247","sansforgetica, non-word, scholopment, Sure non-word, 13133","sansforgetica, word, birds, Sure word, 1691","sansforgetica, non-word, clesh, Sure non-word, 3658","sansforgetica, word, individual, Sure word, 1601","sansforgetica, word, support, Sure word, 1649","sansforgetica, word, dangerous, Sure word, 2033","sansforgetica, non-word, feepped, Sure non-word, 4009","sansforgetica, word, better, Sure word, 1597","sansforgetica, non-word, ninished, Probably non-word, 8309","sansforgetica, non-word, becruit, Sure non-word, 5970","sansforgetica, word, daily, Sure word, 1750","sansforgetica, word, master, Sure word, 3036","sansforgetica, non-word, durprology, Probably word, 5680","sansforgetica, non-word, succerdly, Probably non-word, 4298","sansforgetica, word, noise, Sure word, 1758","sansforgetica, non-word, rateries, Sure non-word, 4500","sansforgetica, word, offered, Sure word, 1958","sansforgetica, non-word, explitition, Probably non-word, 5533","sansforgetica, word, papers, Sure word, 1588","sansforgetica, non-word, impreit, Probably non-word, 3918","76","difficult to read","sansforgetica, word, papers, seen, papers, Sure seen, 2017","sansforgetica, word, individual, seen, individual, Sure seen, 1550","sansforgetica, non-word, impreit, seen, impreit, Sure seen, 4769","sansforgetica, word, daily, seen, daily, Sure seen, 1682","sansforgetica, non-word, begar, non-seen, becruit, Sure not seen, 1834","sansforgetica, non-word, nobit, non-seen, ninished, Sure not seen, 2798","sansforgetica, non-word, dwayed, non-seen, durprology, Sure not seen, 2025","sansforgetica, word, birth, non-seen, birds, Sure not seen, 2097","sansforgetica, non-word, explitition, seen, explitition, Sure seen, 1655","sansforgetica, non-word, succerdly, seen, succerdly, Sure seen, 2254","sansforgetica, non-word, realicult, non-seen, rateries, Sure not seen, 3494","sansforgetica, word, supposed, non-seen, support, Sure not seen, 1955","sansforgetica, word, between, non-seen, better, Sure not seen, 1679","sansforgetica, word, normal, non-seen, noise, Sure not seen, 1693","sansforgetica, non-word, feepped, seen, feepped, Sure seen, 1946","sansforgetica, word, offered, seen, offered, Sure not seen, 1604","2537735","29-04-2019 10:07"
"no","Other designer","1","arial, non-word, tempriation, Probably non-word, 5260","arial, non-word, immediative, Probably non-word, 14827","arial, non-word, explowed, Probably non-word, 2345","arial, non-word, furning, Probably non-word, 2602","arial, word, importance, Sure word, 2247","arial, non-word, mayer, Sure word, 3256","arial, word, stared, Sure word, 2023","arial, non-word, curibe, Probably non-word, 2760","arial, word, planning, Sure word, 2071","arial, non-word, vegetitors, Probably non-word, 6205","arial, word, waste, Sure word, 2035","arial, word, wished, Sure word, 1507","arial, word, returned, Sure word, 1791","arial, non-word, catuirented, Probably non-word, 4162","arial, word, general, Sure word, 1670","arial, word, promised, Sure word, 1236","arial, non-word, sugmaling, Probably non-word, 3394","arial, non-word, rescributed, Probably word, 4369","arial, word, daily, Sure word, 1392","arial, word, surely, Sure word, 1152","15","very easy to read","arial, word, proper, non-seen, promised, Sure not seen, 5449","arial, non-word, curonoms, non-seen, curibe, Sure not seen, 2413","arial, word, impossible, non-seen, importance, Sure not seen, 2004","arial, non-word, tersuact, non-seen, tempriation, Sure not seen, 2106","arial, word, surely, seen, surely, Sure seen, 2125","arial, word, wished, seen, wished, Sure seen, 1652","arial, word, returned, seen, returned, Sure seen, 1225","arial, non-word, vegetitors, seen, vegetitors, Sure seen, 1695","arial, non-word, sugmaling, seen, sugmaling, Sure seen, 1125","arial, word, watching, non-seen, waste, Sure not seen, 2244","arial, word, stared, seen, stared, Sure seen, 1747","arial, non-word, immediative, seen, immediative, Sure seen, 1433","arial, non-word, mayer, seen, mayer, Sure seen, 1087","arial, word, generally, non-seen, general, Sure not seen, 2449","arial, non-word, resightered, non-seen, rescributed, Sure not seen, 2533","arial, non-word, explowing, non-seen, explowed, Sure seen, 2330","sansforgetica, word, round, Sure word, 3807","sansforgetica, word, actions, Sure word, 2260","sansforgetica, word, mental, Sure word, 1619","sansforgetica, word, bridge, Sure word, 1323","sansforgetica, non-word, gighting, Probably non-word, 6024","sansforgetica, word, whole, Sure word, 2064","sansforgetica, non-word, visher, Sure word, 1625","sansforgetica, word, prices, Sure word, 3027","sansforgetica, non-word, dissehons, Probably non-word, 2913","sansforgetica, non-word, heroad, Probably non-word, 3486","sansforgetica, non-word, undonestes, Probably non-word, 2760","sansforgetica, non-word, internably, Probably non-word, 2898","sansforgetica, word, great, Sure word, 2250","sansforgetica, word, local, Sure word, 1128","sansforgetica, non-word, amerying, Probably non-word, 2642","sansforgetica, word, immediately, Sure word, 2596","sansforgetica, non-word, sprairen, Probably non-word, 2961","sansforgetica, word, would, Sure word, 2450","sansforgetica, non-word, outel, Probably non-word, 2614","sansforgetica, non-word, susining, Probably non-word, 2349","15","very difficult to read","sansforgetica, word, great, seen, great, Sure seen, 3331","sansforgetica, word, bridge, seen, bridge, Sure seen, 1206","sansforgetica, non-word, hervent, non-seen, heroad, Sure not seen, 2409","sansforgetica, word, mental, seen, mental, Sure seen, 1921","sansforgetica, word, prime, non-seen, prices, Sure not seen, 1852","sansforgetica, non-word, syllection, non-seen, susining, Sure not seen, 1445","sansforgetica, non-word, internably, seen, internably, Sure seen, 2112","sansforgetica, non-word, amerying, seen, amerying, Sure seen, 1347","sansforgetica, word, actions, seen, actions, Sure seen, 1213","sansforgetica, non-word, sprikelf, non-seen, sprairen, Sure not seen, 2217","sansforgetica, non-word, undonestes, seen, undonestes, Sure seen, 2372","sansforgetica, word, whose, non-seen, whole, Sure not seen, 2441","sansforgetica, non-word, girayed, non-seen, gighting, Sure not seen, 1247","sansforgetica, word, royal, non-seen, round, Sure not seen, 1064","sansforgetica, word, longer, non-seen, local, Sure not seen, 1051","sansforgetica, non-word, dissehons, seen, dissehons, Sure seen, 2197","2536942","29-04-2019 08:52"
