StudyID,ParticipantID,TestID,Type,Fluent,Designer,Font,Correct,RT,RT_word,RT_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date
1.0,10.0,2,lexical,,Letter designer,arial,0.95,2183.1,1557.1,2809.1,1.0,,,very easy to read,90,04-04-2019 18:16
1.0,10.0,2,recognition,,Letter designer,arial,1.0,1985.5,1856.875,2114.125,1.0,1.0,1.0,very easy to read,90,04-04-2019 18:16
1.0,11.0,1,lexical,,Non-designer,arial,1.0,2569.35,2362.2,2776.5,1.0,,,very easy to read,50,04-04-2019 17:49
1.0,11.0,1,recognition,,Non-designer,arial,1.0,2315.8125,2337.25,2294.375,1.0,1.0,1.0,very easy to read,50,04-04-2019 17:49
1.0,11.0,2,lexical,,Non-designer,sansforgetica,1.0,1845.85,1476.9,2214.8,1.0,,,difficult to read,50,04-04-2019 17:49
1.0,11.0,2,recognition,,Non-designer,sansforgetica,0.875,2103.875,2186.625,2021.125,0.8984375,0.9375,0.84375,difficult to read,50,04-04-2019 17:49
1.0,12.0,1,lexical,,Graphic designer,arial,0.95,2705.95,1465.5,3946.4,1.0,,,very easy to read,62,04-04-2019 17:03
1.0,12.0,1,recognition,,Graphic designer,arial,0.9375,2272.4375,2003.875,2541.0,0.9375,0.875,1.0,very easy to read,62,04-04-2019 17:03
1.0,12.0,2,lexical,,Graphic designer,sansforgetica,1.0,2616.0,1941.5,3290.5,1.0,,,ok,50,04-04-2019 17:03
1.0,12.0,2,recognition,,Graphic designer,sansforgetica,0.9375,2363.9375,2135.0,2592.875,0.9375,0.875,1.0,ok,50,04-04-2019 17:03
1.0,13.0,1,lexical,,Letter designer,sansforgetica,0.95,1736.15,1566.3,1906.0,1.0,,,easy to read,70,04-04-2019 16:11
1.0,13.0,1,recognition,,Letter designer,sansforgetica,0.875,1980.5625,1914.125,2047.0,0.984375,1.0,0.96875,easy to read,70,04-04-2019 16:11
1.0,13.0,2,lexical,,Letter designer,arial,1.0,1269.25,1164.6,1373.9,1.0,,,very easy to read,59,04-04-2019 16:11
1.0,13.0,2,recognition,,Letter designer,arial,0.75,2051.0,1923.25,2178.75,0.734375,0.40625,1.0,very easy to read,59,04-04-2019 16:11
1.0,14.0,1,lexical,,Other designer,sansforgetica,0.8,2389.7,1584.8,3194.6,1.0,,,ok,50,04-04-2019 15:30
1.0,14.0,1,recognition,,Other designer,sansforgetica,0.9375,2224.625,1886.75,2562.5,0.9375,0.875,1.0,ok,50,04-04-2019 15:30
1.0,14.0,2,lexical,,Other designer,arial,1.0,1637.65,1440.3,1835.0,1.0,,,very easy to read,50,04-04-2019 15:30
1.0,14.0,2,recognition,,Other designer,arial,1.0,2352.9375,2542.75,2163.125,1.0,1.0,1.0,very easy to read,50,04-04-2019 15:30
1.0,15.0,1,lexical,,Non-designer,sansforgetica,0.85,2036.95,1952.4,2121.5,0.85,,,difficult to read,74,04-04-2019 13:55
1.0,15.0,1,recognition,,Non-designer,sansforgetica,0.875,2452.6875,2377.25,2528.125,0.921875,1.0,0.84375,difficult to read,74,04-04-2019 13:55
1.0,15.0,2,lexical,,Non-designer,arial,0.9,2174.85,1630.1,2719.6,0.9,,,very easy to read,73,04-04-2019 13:55
1.0,15.0,2,recognition,,Non-designer,arial,0.8125,2449.125,2121.5,2776.75,0.8125,0.875,0.75,very easy to read,73,04-04-2019 13:55
1.0,16.0,1,lexical,,Typographer,sansforgetica,0.85,2754.95,1535.3,3974.6,0.9500000000000001,,,ok,69,04-04-2019 13:11
1.0,16.0,1,recognition,,Typographer,sansforgetica,1.0,2400.5625,2491.0,2310.125,1.0,1.0,1.0,ok,69,04-04-2019 13:11
1.0,16.0,2,lexical,,Typographer,arial,0.95,2383.35,2526.2,2240.5,1.0,,,very easy to read,50,04-04-2019 13:11
1.0,16.0,2,recognition,,Typographer,arial,0.9375,1939.8125,1958.75,1920.875,1.0,1.0,1.0,very easy to read,50,04-04-2019 13:11
1.0,17.0,1,lexical,,Graphic designer,sansforgetica,0.85,2379.45,1838.4,2920.5,0.8500000000000001,,,very easy to read,27,04-04-2019 13:02
1.0,17.0,1,recognition,,Graphic designer,sansforgetica,0.875,2214.25,1774.0,2654.5,0.875,0.875,0.875,very easy to read,27,04-04-2019 13:02
1.0,17.0,2,lexical,,Graphic designer,arial,0.95,1873.8,1222.1,2525.5,1.0,,,very easy to read,27,04-04-2019 13:02
1.0,17.0,2,recognition,,Graphic designer,arial,0.9375,1629.125,1586.625,1671.625,0.9375,1.0,0.875,very easy to read,27,04-04-2019 13:02
1.0,18.0,1,lexical,,Letter designer,arial,0.9,1969.9,1483.5,2456.3,1.0,,,ok,28,04-04-2019 12:35
1.0,18.0,1,recognition,,Letter designer,arial,0.8125,2007.625,1625.5,2389.75,0.890625,0.875,0.875,ok,28,04-04-2019 12:35
1.0,18.0,2,lexical,,Letter designer,sansforgetica,0.95,2394.1,1700.6,3087.6,1.0,,,difficult to read,27,04-04-2019 12:35
1.0,18.0,2,recognition,,Letter designer,sansforgetica,0.9375,1987.375,1990.5,1984.25,0.984375,1.0,1.0,difficult to read,27,04-04-2019 12:35
1.0,19.0,1,lexical,,Letter designer,arial,0.8,2360.95,1943.5,2778.4,0.87,,,very easy to read,76,04-04-2019 12:26
1.0,19.0,1,recognition,,Letter designer,arial,0.9375,2402.4375,2546.875,2258.0,0.9375,0.875,1.0,very easy to read,76,04-04-2019 12:26
1.0,19.0,2,lexical,,Letter designer,sansforgetica,1.0,3284.25,1900.6,4667.9,1.0,,,ok,79,04-04-2019 12:26
1.0,19.0,2,recognition,,Letter designer,sansforgetica,0.75,2340.375,2200.625,2480.125,0.796875,0.75,0.8125,ok,79,04-04-2019 12:26
1.0,20.0,1,lexical,,Letter designer,arial,0.9,46628.75,1935.5,91322.0,0.9,,,ok,59,04-04-2019 12:23
1.0,20.0,1,recognition,,Letter designer,arial,0.6875,4721.6875,2206.625,7236.75,0.75,0.875,0.71875,ok,59,04-04-2019 12:23
1.0,20.0,2,lexical,,Letter designer,sansforgetica,0.85,2181.05,2612.5,1749.6,0.8150000000000001,,,very difficult to read,11,04-04-2019 12:23
1.0,20.0,2,recognition,,Letter designer,sansforgetica,0.625,2516.6875,2773.625,2259.75,0.671875,0.625,0.75,very difficult to read,11,04-04-2019 12:23
1.0,21.0,1,lexical,,Letter designer,sansforgetica,0.95,2083.65,1617.9,2549.4,0.9500000000000001,,,ok,66,04-04-2019 12:21
