"Fluent","Design_skills","test_1_lexical_1","test_1_lexical_2","test_1_lexical_3","test_1_lexical_4","test_1_lexical_5","test_1_lexical_6","test_1_lexical_7","test_1_lexical_8","test_1_lexical_9","test_1_lexical_10","test_1_lexical_11","test_1_lexical_12","test_1_lexical_13","test_1_lexical_14","test_1_lexical_15","test_1_lexical_16","test_1_lexical_17","test_1_lexical_18","test_1_lexical_19","test_1_lexical_20","test_1_remember","test_1_legibility","test_1_recognition_1","test_1_recognition_2","test_1_recognition_3","test_1_recognition_4","test_1_recognition_5","test_1_recognition_6","test_1_recognition_7","test_1_recognition_8","test_1_recognition_9","test_1_recognition_10","test_1_recognition_11","test_1_recognition_12","test_1_recognition_13","test_1_recognition_14","test_1_recognition_15","test_1_recognition_16","test_2_lexical_1","test_2_lexical_2","test_2_lexical_3","test_2_lexical_4","test_2_lexical_5","test_2_lexical_6","test_2_lexical_7","test_2_lexical_8","test_2_lexical_9","test_2_lexical_10","test_2_lexical_11","test_2_lexical_12","test_2_lexical_13","test_2_lexical_14","test_2_lexical_15","test_2_lexical_16","test_2_lexical_17","test_2_lexical_18","test_2_lexical_19","test_2_lexical_20","test_2_remember","test_2_legibility","test_2_recognition_1","test_2_recognition_2","test_2_recognition_3","test_2_recognition_4","test_2_recognition_5","test_2_recognition_6","test_2_recognition_7","test_2_recognition_8","test_2_recognition_9","test_2_recognition_10","test_2_recognition_11","test_2_recognition_12","test_2_recognition_13","test_2_recognition_14","test_2_recognition_15","test_2_recognition_16","",""
"yes","Non-designer","sansforgetica, nonword, neeld, Sure word, 2744","sansforgetica, nonword, inverstand, Sure word, 841","sansforgetica, nonword, sovess, Sure word, 527","sansforgetica, word, guilty, Sure word, 536","sansforgetica, word, actions, Sure word, 511","sansforgetica, word, earth, Sure word, 481","sansforgetica, nonword, partnestion, Sure word, 504","sansforgetica, nonword, surcenters, Sure word, 512","sansforgetica, word, status, Sure word, 496","sansforgetica, nonword, miney, Sure word, 489","sansforgetica, nonword, calculgical, Sure word, 327","sansforgetica, word, women, Sure word, 554","sansforgetica, word, parent, Sure word, 589","sansforgetica, word, stock, Sure word, 522","sansforgetica, word, authorities, Sure word, 471","sansforgetica, nonword, cerving, Sure word, 520","sansforgetica, nonword, enreloping, Sure word, 1345","sansforgetica, word, meaning, Sure word, 535","sansforgetica, word, minute, Sure word, 463","sansforgetica, nonword, sprairen, Sure word, 378","56","very easy to read","sansforgetica, word, easier, non-seen, earth, Sure seen, 3431","sansforgetica, nonword, miney, seen, miney, Sure seen, 618","sansforgetica, nonword, enreloping, seen, enreloping, Sure seen, 567","sansforgetica, word, available, non-seen, authorities, Sure seen, 566","sansforgetica, word, minute, seen, minute, Sure seen, 536","sansforgetica, word, active, non-seen, actions, Sure seen, 536","sansforgetica, nonword, invironable, non-seen, inverstand, Sure seen, 594","sansforgetica, word, parent, seen, parent, Sure seen, 534","sansforgetica, nonword, surcenters, seen, surcenters, Sure seen, 561","sansforgetica, word, means, non-seen, meaning, Sure seen, 527","sansforgetica, nonword, sprikelf, non-seen, sprairen, Sure seen, 513","sansforgetica, nonword, chaminue, non-seen, cerving, Sure seen, 527","sansforgetica, word, status, seen, status, Sure seen, 561","sansforgetica, nonword, partnestion, seen, partnestion, Sure seen, 567","sansforgetica, word, guilty, seen, guilty, Sure seen, 553","sansforgetica, nonword, sovies, non-seen, sovess, Sure seen, 584","inputsans, word, pattern, Sure word, 1902","inputsans, nonword, vally, Sure word, 826","inputsans, word, either, Sure word, 528","inputsans, word, escape, Sure word, 375","inputsans, nonword, masuld, Sure word, 383","inputsans, word, physical, Sure word, 657","inputsans, nonword, sountion, Sure word, 603","inputsans, word, start, Sure word, 501","inputsans, nonword, cittes, Sure word, 511","inputsans, nonword, griends, Sure word, 546","inputsans, word, adult, Sure word, 711","inputsans, nonword, gatted, Sure word, 849","inputsans, nonword, arould, Sure word, 600","inputsans, word, appropriate, Sure word, 831","inputsans, word, benefit, Sure word, 696","inputsans, word, medical, Sure word, 609","inputsans, nonword, pritialing, Sure word, 592","inputsans, nonword, treselved, Sure word, 640","inputsans, nonword, uneard, Sure word, 607","inputsans, word, always, Sure word, 617","54","easy to read","inputsans, nonword, cittes, seen, cittes, Sure seen, 2631","inputsans, word, statement, non-seen, start, Sure seen, 591","inputsans, nonword, matisiber, non-seen, masuld, Sure seen, 528","inputsans, word, besides, non-seen, benefit, Sure seen, 505","inputsans, word, especially, non-seen, escape, Sure seen, 583","inputsans, nonword, sooked, non-seen, sountion, Sure seen, 511","inputsans, nonword, arould, seen, arould, Sure seen, 449","inputsans, nonword, proception, non-seen, pritialing, Sure seen, 432","inputsans, nonword, trevation, non-seen, treselved, Sure seen, 433","inputsans, word, appropriate, seen, appropriate, Sure seen, 448","inputsans, word, adult, seen, adult, Sure seen, 495","inputsans, word, physical, seen, physical, Sure seen, 440","inputsans, nonword, uneard, seen, uneard, Sure seen, 321","inputsans, word, pattern, seen, pattern, Sure seen, 575","inputsans, nonword, vally, seen, vally, Sure seen, 681","inputsans, word, meeting, non-seen, medical, Sure seen, 511","2127888","25-03-2019 19:37"
"yes","Non-designer","sansforgetica, word, common, Sure word, 2752","sansforgetica, word, carefully, Sure word, 1810","sansforgetica, word, pieces, Sure word, 1541","sansforgetica, nonword, sprairen, Probably non-word, 4110","sansforgetica, nonword, protbation, Probably non-word, 3288","sansforgetica, word, exactly, Sure word, 1997","sansforgetica, nonword, expedintly, Probably word, 3771","sansforgetica, nonword, sategontly, Probably non-word, 4236","sansforgetica, word, concern, Sure word, 1757","sansforgetica, word, capable, Sure word, 1210","sansforgetica, nonword, morence, Probably word, 2380","sansforgetica, nonword, undouring, Sure non-word, 4086","sansforgetica, nonword, requinest, Sure non-word, 1711","sansforgetica, word, argument, Sure word, 1902","sansforgetica, word, fight, Sure word, 1306","sansforgetica, nonword, equipmely, Probably non-word, 5394","sansforgetica, word, phone, Sure word, 2186","sansforgetica, word, learn, Sure word, 1196","sansforgetica, nonword, perietail, Probably word, 3147","sansforgetica, nonword, compereness, Probably word, 2871","40","easy to read","sansforgetica, nonword, requinest, seen, requinest, Sure seen, 2476","sansforgetica, nonword, undublisted, non-seen, undouring, Sure not seen, 2857","sansforgetica, nonword, sategontly, seen, sategontly, Sure seen, 2341","sansforgetica, nonword, equipmely, seen, equipmely, Sure seen, 1552","sansforgetica, nonword, experaties, non-seen, expedintly, Sure not seen, 2583","sansforgetica, word, concern, seen, concern, Sure seen, 1606","sansforgetica, word, capable, seen, capable, Sure seen, 1170","sansforgetica, word, fight, seen, fight, Sure seen, 1235","sansforgetica, word, carefully, seen, carefully, Sure seen, 1202","sansforgetica, nonword, morence, seen, morence, Sure seen, 1549","sansforgetica, nonword, sprikelf, non-seen, sprairen, Probably not seen, 2861","sansforgetica, word, example, non-seen, exactly, Sure seen, 1556","sansforgetica, word, physical, non-seen, phone, Sure not seen, 2194","sansforgetica, word, placed, non-seen, pieces, Sure not seen, 1666","sansforgetica, nonword, protercial, non-seen, protbation, Probably seen, 2617","sansforgetica, word, learning, non-seen, learn, Probably seen, 2014","inputsans, word, battle, Sure word, 2910","inputsans, nonword, possecapped, Sure non-word, 2848","inputsans, nonword, steet, Sure non-word, 2065","inputsans, word, stood, Sure word, 2040","inputsans, nonword, hunwary, Probably non-word, 2168","inputsans, nonword, contrimenty, Probably word, 3257","inputsans, nonword, explaign, Sure non-word, 1948","inputsans, nonword, peoply, Sure non-word, 1816","inputsans, word, familiar, Sure word, 1978","inputsans, word, problems, Sure word, 1514","inputsans, word, successful, Sure word, 1330","inputsans, word, forced, Sure word, 1318","inputsans, nonword, apportuning, Sure word, 1832","inputsans, word, terms, Sure word, 1104","inputsans, word, dollars, Sure word, 1317","inputsans, nonword, fashing, Sure word, 4082","inputsans, word, thick, Sure word, 1654","inputsans, word, limited, Sure word, 1153","inputsans, nonword, gromish, Probably non-word, 1781","inputsans, nonword, larms, Sure non-word, 2338","42","very easy to read","inputsans, nonword, explaign, seen, explaign, Sure not seen, 3672","inputsans, word, limited, seen, limited, Sure seen, 1510","inputsans, nonword, larms, seen, larms, Sure seen, 1989","inputsans, word, terrible, non-seen, terms, Sure not seen, 2266","inputsans, word, successful, seen, successful, Sure seen, 1982","inputsans, nonword, faterb, non-seen, fashing, Sure not seen, 2009","inputsans, word, familiar, seen, familiar, Sure seen, 2618","inputsans, word, doors, non-seen, dollars, Sure not seen, 1726","inputsans, nonword, appresses, non-seen, apportuning, Sure not seen, 1623","inputsans, word, process, non-seen, problems, Probably seen, 3536","inputsans, word, stood, seen, stood, Sure seen, 1565","inputsans, nonword, possecapped, seen, possecapped, Sure seen, 2050","inputsans, nonword, controyed, non-seen, contrimenty, Sure not seen, 1901","inputsans, nonword, peoply, seen, peoply, Sure seen, 3067","inputsans, nonword, stich, non-seen, steet, Probably not seen, 2061","inputsans, word, foreign, non-seen, forced, Probably not seen, 2122","2055789","19-03-2019 16:35"
"yes","Other designer","sansforgetica, nonword, unconscents, Probably non-word, 5466","sansforgetica, word, living, Sure word, 1568","sansforgetica, nonword, opplanation, Probably non-word, 4287","sansforgetica, word, worked, Sure word, 1892","sansforgetica, word, without, Sure word, 1250","sansforgetica, nonword, althdren, Sure non-word, 2927","sansforgetica, nonword, scievority, Probably non-word, 3794","sansforgetica, word, answered, Sure word, 1754","sansforgetica, word, speech, Sure word, 1146","sansforgetica, nonword, drojects, Probably non-word, 2920","sansforgetica, word, television, Sure word, 1427","sansforgetica, word, given, Sure word, 1115","sansforgetica, nonword, regioney, Sure non-word, 2781","sansforgetica, word, money, Sure word, 2299","sansforgetica, word, break, Sure word, 1077","sansforgetica, nonword, creviver, Probably non-word, 1559","sansforgetica, nonword, handence, Probably non-word, 1840","sansforgetica, nonword, railts, Probably non-word, 1610","sansforgetica, nonword, objectuffs, Probably non-word, 2212","sansforgetica, word, probably, Sure word, 1626","63","ok","sansforgetica, nonword, obsenctiage, non-seen, objectuffs, Sure not seen, 4120","sansforgetica, word, telling, non-seen, television, Probably not seen, 3853","sansforgetica, nonword, relaterial, non-seen, regioney, Sure not seen, 2322","sansforgetica, word, workers, non-seen, worked, Sure not seen, 1532","sansforgetica, word, speed, non-seen, speech, Sure not seen, 1215","sansforgetica, nonword, althdren, seen, althdren, Probably seen, 4431","sansforgetica, nonword, railts, seen, railts, Sure seen, 2368","sansforgetica, nonword, hanposed, non-seen, handence, Sure not seen, 1671","sansforgetica, word, women, non-seen, without, Sure not seen, 2863","sansforgetica, nonword, durprology, non-seen, drojects, Sure not seen, 1782","sansforgetica, word, money, seen, money, Sure not seen, 3943","sansforgetica, word, given, seen, given, Sure seen, 3144","sansforgetica, nonword, scievority, seen, scievority, Probably not seen, 5751","sansforgetica, word, break, seen, break, Sure seen, 1496","sansforgetica, nonword, creviver, seen, creviver, Probably not seen, 1744","sansforgetica, word, answered, seen, answered, Probably not seen, 3862","inputsans, nonword, dindow, Probably non-word, 3444","inputsans, word, friend, Sure word, 1517","inputsans, word, century, Sure word, 1275","inputsans, word, letters, Sure word, 1425","inputsans, word, balance, Sure word, 944","inputsans, nonword, unpligatic, Probably word, 1831","inputsans, nonword, hunneshed, Probably non-word, 1911","inputsans, word, after, Sure word, 1387","inputsans, nonword, veginnity, Probably non-word, 2042","inputsans, word, statement, Sure word, 1465","inputsans, nonword, millars, Probably word, 4706","inputsans, word, anywhere, Sure word, 1384","inputsans, nonword, discificial, Probably non-word, 2052","inputsans, nonword, aponoments, Probably non-word, 2287","inputsans, word, coming, Sure word, 1403","inputsans, nonword, priend, Probably word, 1776","inputsans, word, narrow, Sure word, 1114","inputsans, nonword, expeatious, Probably non-word, 1578","inputsans, nonword, rountes, Probably non-word, 2325","inputsans, word, touch, Sure word, 1367","60","difficult to read","inputsans, word, states, non-seen, statement, Sure not seen, 3685","inputsans, word, coming, seen, coming, Sure seen, 1903","inputsans, word, after, seen, after, Probably not seen, 3476","inputsans, nonword, millars, seen, millars, Sure seen, 1996","inputsans, word, friendly, non-seen, friend, Sure not seen, 2092","inputsans, nonword, hunneshed, seen, hunneshed, Probably not seen, 4571","inputsans, nonword, rountes, seen, rountes, Probably seen, 7224","inputsans, nonword, expeativer, non-seen, expeatious, Probably seen, 2063","inputsans, word, level, non-seen, letters, Probably not seen, 11411","inputsans, nonword, veginnity, seen, veginnity, Probably seen, 2040","inputsans, word, touch, seen, touch, Sure seen, 1604","inputsans, nonword, discinuing, non-seen, discificial, Probably not seen, 2039","inputsans, word, narrow, seen, narrow, Sure seen, 1396","inputsans, word, certain, non-seen, century, Probably not seen, 4202","inputsans, nonword, direndly, non-seen, dindow, Probably not seen, 1669","inputsans, nonword, applictable, non-seen, aponoments, Probably not seen, 3415","2055691","19-03-2019 16:25"
"yes","Non-designer","inputsans, nonword, finansive, Sure non-word, 2001","inputsans, nonword, immediative, Sure non-word, 1562","inputsans, nonword, soctic, Sure non-word, 1094","inputsans, nonword, estitimes, Sure non-word, 1009","inputsans, word, aware, Sure word, 1401","inputsans, word, scale, Sure word, 943","inputsans, word, computer, Sure word, 1153","inputsans, word, individual, Sure word, 847","inputsans, nonword, forgotter, Sure non-word, 1695","inputsans, word, dressed, Sure word, 1544","inputsans, nonword, sacusaned, Sure non-word, 1609","inputsans, word, audience, Sure word, 1688","inputsans, word, function, Sure word, 919","inputsans, word, struggle, Sure word, 899","inputsans, word, corner, Sure word, 997","inputsans, nonword, airalow, Sure non-word, 1761","inputsans, nonword, suggers, Sure non-word, 1902","inputsans, nonword, vehients, Sure non-word, 1000","inputsans, nonword, pentifical, Sure non-word, 1210","inputsans, word, attitude, Sure word, 1447","40","easy to read","inputsans, nonword, eurviver, non-seen, estitimes, Probably not seen, 4480","inputsans, nonword, soctic, seen, soctic, Probably not seen, 1592","inputsans, word, authorities, non-seen, audience, Sure not seen, 2320","inputsans, nonword, sancerats, non-seen, sacusaned, Probably seen, 2061","inputsans, nonword, velerion, non-seen, vehients, Probably seen, 1577","inputsans, word, corner, seen, corner, Probably not seen, 1952","inputsans, word, function, seen, function, Sure seen, 1521","inputsans, nonword, suggesent, non-seen, suggers, Sure seen, 2134","inputsans, word, aware, seen, aware, Sure seen, 1545","inputsans, nonword, airalow, seen, airalow, Probably seen, 1905","inputsans, nonword, finansive, seen, finansive, Probably seen, 1703","inputsans, word, industrial, non-seen, individual, Probably seen, 1537","inputsans, word, studies, non-seen, struggle, Probably seen, 1303","inputsans, nonword, immediative, seen, immediative, Sure seen, 1655","inputsans, word, computer, seen, computer, Sure seen, 1922","inputsans, word, drink, non-seen, dressed, Sure not seen, 1847","sansforgetica, nonword, stich, Sure non-word, 2802","sansforgetica, word, among, Sure word, 1768","sansforgetica, nonword, sungs, Sure non-word, 1904","sansforgetica, nonword, fraditted, Sure non-word, 1736","sansforgetica, word, breath, Sure word, 1656","sansforgetica, nonword, dictrised, Sure non-word, 2176","sansforgetica, word, create, Sure word, 1656","sansforgetica, nonword, assinquent, Sure non-word, 2080","sansforgetica, word, wrong, Sure word, 2448","sansforgetica, nonword, becruit, Sure non-word, 2264","sansforgetica, word, ahead, Sure word, 1634","sansforgetica, word, committee, Sure word, 1341","sansforgetica, word, choose, Sure word, 961","sansforgetica, word, dress, Sure word, 1065","sansforgetica, nonword, outhough, Sure non-word, 3742","sansforgetica, nonword, commerable, Sure non-word, 2688","sansforgetica, word, check, Sure word, 1633","sansforgetica, word, walls, Sure word, 992","sansforgetica, nonword, cuppened, Sure non-word, 2185","sansforgetica, nonword, apprest, Sure non-word, 1559","26","difficult to read","sansforgetica, word, ahead, seen, ahead, Sure seen, 6318","sansforgetica, word, chosen, non-seen, choose, Probably seen, 3160","sansforgetica, nonword, outhough, seen, outhough, Sure seen, 2704","sansforgetica, nonword, fraditted, seen, fraditted, Probably seen, 2169","sansforgetica, word, check, seen, check, Probably seen, 1400","sansforgetica, nonword, cuppened, seen, cuppened, Sure seen, 2158","sansforgetica, nonword, commerable, seen, commerable, Sure seen, 1473","sansforgetica, nonword, arges, non-seen, apprest, Sure not seen, 1991","sansforgetica, word, committee, seen, committee, Probably seen, 1865","sansforgetica, word, wrote, non-seen, wrong, Probably seen, 1656","sansforgetica, nonword, differsive, non-seen, dictrised, Probably not seen, 1945","sansforgetica, word, walls, seen, walls, Probably seen, 1807","sansforgetica, nonword, stort, non-seen, stich, Probably not seen, 1600","sansforgetica, nonword, begar, non-seen, becruit, Sure not seen, 1785","sansforgetica, word, bridge, non-seen, breath, Probably not seen, 2591","sansforgetica, word, created, non-seen, create, Probably seen, 1594","1975910","10-03-2019 12:06"
"yes","Non-designer","inputsans, word, growth, Sure word, 1658","inputsans, nonword, fathed, Sure non-word, 1911","inputsans, nonword, promatic, Sure non-word, 1545","inputsans, nonword, sountion, Sure non-word, 2240","inputsans, word, courses, Sure word, 1512","inputsans, nonword, togetits, Sure non-word, 2024","inputsans, word, population, Sure word, 1849","inputsans, word, wealth, Sure word, 1440","inputsans, word, entirely, Sure word, 902","inputsans, nonword, amerying, Sure non-word, 1553","inputsans, nonword, ordiever, Sure non-word, 2065","inputsans, word, double, Sure word, 1359","inputsans, word, democracy, Sure word, 1495","inputsans, nonword, emposprism, Sure non-word, 1473","inputsans, word, project, Sure word, 1352","inputsans, word, eating, Sure word, 951","inputsans, nonword, ultomobile, Sure non-word, 1799","inputsans, word, plenty, Sure word, 1592","inputsans, nonword, minsuit, Sure non-word, 1545","inputsans, nonword, fielve, Sure non-word, 1050","55","very easy to read","inputsans, nonword, fielve, seen, fielve, Probably not seen, 2895","inputsans, nonword, ordiever, seen, ordiever, Sure not seen, 1800","inputsans, word, population, seen, population, Probably seen, 1671","inputsans, word, environment, non-seen, entirely, Probably not seen, 2433","inputsans, nonword, emposprism, seen, emposprism, Sure not seen, 3112","inputsans, word, weapons, non-seen, wealth, Sure not seen, 2370","inputsans, nonword, mircract, non-seen, minsuit, Sure not seen, 1702","inputsans, word, democracy, seen, democracy, Probably not seen, 2768","inputsans, nonword, fathed, seen, fathed, Probably not seen, 1848","inputsans, nonword, sovess, non-seen, sountion, Sure not seen, 1903","inputsans, nonword, promoring, non-seen, promatic, Sure not seen, 1657","inputsans, word, guess, non-seen, growth, Sure not seen, 1752","inputsans, nonword, umbrated, non-seen, ultomobile, Sure not seen, 1985","inputsans, word, plenty, seen, plenty, Probably not seen, 2448","inputsans, word, court, non-seen, courses, Sure not seen, 1911","inputsans, word, project, seen, project, Probably seen, 2104","sansforgetica, nonword, enreloping, Sure non-word, 2824","sansforgetica, word, announced, Sure word, 1953","sansforgetica, word, popular, Sure word, 1735","sansforgetica, nonword, dictrised, Sure non-word, 4528","sansforgetica, nonword, nuccest, Sure non-word, 1401","sansforgetica, word, character, Sure word, 2409","sansforgetica, word, looks, Sure word, 2352","sansforgetica, nonword, sidlater, Sure non-word, 2118","sansforgetica, nonword, throure, Sure non-word, 2441","sansforgetica, word, plans, Sure word, 1705","sansforgetica, nonword, venerweared, Sure non-word, 2176","sansforgetica, nonword, hidnectes, Sure non-word, 2728","sansforgetica, nonword, holts, Sure word, 3423","sansforgetica, word, health, Sure word, 1136","sansforgetica, word, giving, Sure word, 930","sansforgetica, nonword, conandere, Sure non-word, 1982","sansforgetica, word, investment, Sure word, 1808","sansforgetica, word, thirty, Sure word, 2009","sansforgetica, word, square, Sure word, 1752","sansforgetica, nonword, scratious, Sure non-word, 2039","38","very difficult to read","sansforgetica, nonword, sidlater, seen, sidlater, Probably seen, 2473","sansforgetica, word, plans, seen, plans, Probably not seen, 1703","sansforgetica, nonword, holts, seen, holts, Probably seen, 1569","sansforgetica, word, announced, seen, announced, Probably seen, 1616","sansforgetica, nonword, thrughts, non-seen, throure, Sure not seen, 2210","sansforgetica, nonword, dictrised, seen, dictrised, Sure not seen, 1830","sansforgetica, nonword, entervished, non-seen, enreloping, Probably not seen, 1967","sansforgetica, word, popular, seen, popular, Probably seen, 1657","sansforgetica, nonword, hidnectes, seen, hidnectes, Probably not seen, 1983","sansforgetica, word, charge, non-seen, character, Probably not seen, 2064","sansforgetica, word, health, seen, health, Sure seen, 1752","sansforgetica, word, staff, non-seen, square, Probably not seen, 2065","sansforgetica, nonword, verection, non-seen, venerweared, Probably seen, 2584","sansforgetica, word, those, non-seen, thirty, Probably not seen, 1823","sansforgetica, nonword, nucking, non-seen, nuccest, Sure not seen, 2456","sansforgetica, word, glass, non-seen, giving, Sure not seen, 1880","1961833","08-03-2019 18:44"
"yes","Non-designer","sansforgetica, word, streets, Sure word, 2152","sansforgetica, nonword, steet, Sure non-word, 3040","sansforgetica, nonword, papid, Sure non-word, 1529","sansforgetica, word, division, Sure word, 1905","sansforgetica, word, merely, Sure word, 1312","sansforgetica, nonword, undonestes, Sure non-word, 2000","sansforgetica, nonword, wourt, Sure non-word, 1602","sansforgetica, word, making, Sure word, 1710","sansforgetica, nonword, desping, Sure non-word, 2327","sansforgetica, word, without, Sure word, 1521","sansforgetica, nonword, impeady, Sure non-word, 2079","sansforgetica, nonword, pigeboy, Sure non-word, 1273","sansforgetica, nonword, realicult, Sure non-word, 1343","sansforgetica, word, success, Sure word, 1545","sansforgetica, word, surprise, Sure word, 1056","sansforgetica, word, stood, Sure word, 1127","sansforgetica, nonword, hysturably, Sure non-word, 2080","sansforgetica, word, considered, Sure word, 4039","sansforgetica, nonword, frangee, Sure non-word, 1528","sansforgetica, word, company, Sure word, 1538","63","difficult to read","sansforgetica, word, message, non-seen, merely, Probably not seen, 3312","sansforgetica, nonword, stich, non-seen, steet, Probably not seen, 1622","sansforgetica, nonword, desposed, non-seen, desping, Probably seen, 1873","sansforgetica, nonword, hysturably, seen, hysturably, Probably seen, 3543","sansforgetica, word, streets, seen, streets, Sure seen, 1632","sansforgetica, word, stood, seen, stood, Probably seen, 1737","sansforgetica, nonword, pigeboy, seen, pigeboy, Sure seen, 2088","sansforgetica, nonword, papsy, non-seen, papid, Probably not seen, 2103","sansforgetica, word, women, non-seen, without, Probably not seen, 1808","sansforgetica, word, contact, non-seen, considered, Probably not seen, 1433","sansforgetica, word, surprise, seen, surprise, Probably seen, 1552","sansforgetica, nonword, undouring, non-seen, undonestes, Sure not seen, 2447","sansforgetica, word, company, seen, company, Probably not seen, 3425","sansforgetica, nonword, wourt, seen, wourt, Probably seen, 2279","sansforgetica, word, doctor, non-seen, division, Sure not seen, 2000","sansforgetica, nonword, impeady, seen, impeady, Probably seen, 1857","inputsans, word, running, Sure word, 2352","inputsans, word, actually, Sure word, 1610","inputsans, word, structure, Sure word, 1109","inputsans, word, create, Sure word, 1250","inputsans, word, leading, Sure word, 1424","inputsans, word, given, Sure word, 903","inputsans, word, plants, Sure word, 1108","inputsans, nonword, crevided, Sure non-word, 1767","inputsans, nonword, libertably, Sure non-word, 1313","inputsans, nonword, occational, Sure non-word, 1407","inputsans, nonword, littletely, Sure non-word, 1416","inputsans, nonword, preeding, Sure non-word, 1273","inputsans, word, actual, Sure word, 1799","inputsans, nonword, strantely, Sure non-word, 2127","inputsans, word, share, Sure word, 1785","inputsans, nonword, durprology, Sure non-word, 1937","inputsans, nonword, ruscle, Sure non-word, 1712","inputsans, nonword, outsing, Sure non-word, 1193","inputsans, word, directly, Sure word, 1638","inputsans, nonword, opergence, Sure non-word, 2055","71","easy to read","inputsans, word, director, non-seen, directly, Sure not seen, 2456","inputsans, word, sharp, non-seen, share, Sure not seen, 1712","inputsans, nonword, durprology, seen, durprology, Sure seen, 2112","inputsans, word, learn, non-seen, leading, Sure seen, 1593","inputsans, nonword, rutogement, non-seen, ruscle, Sure not seen, 2504","inputsans, nonword, outting, non-seen, outsing, Probably not seen, 2103","inputsans, nonword, opergence, seen, opergence, Probably seen, 1951","inputsans, word, actually, seen, actually, Sure seen, 1608","inputsans, word, actual, seen, actual, Sure not seen, 3449","inputsans, nonword, strantely, seen, strantely, Sure seen, 3080","inputsans, word, given, seen, given, Probably seen, 1664","inputsans, nonword, littor, non-seen, littletely, Sure not seen, 2055","inputsans, nonword, creviver, non-seen, crevided, Probably not seen, 1865","inputsans, nonword, preeding, seen, preeding, Probably not seen, 3510","inputsans, word, create, seen, create, Sure seen, 1703","inputsans, word, radio, non-seen, running, Sure not seen, 1815","1961217","08-03-2019 17:36"
