,Study ID,Participant ID,Native,Designer,Test ID,Test type,Trial ID,Font,Sample,Category,Response,Correct,Seen,Foil,Response time,JoM,JoL,Date
37,Pilot,0,yes,Non-designer,2,lexical,2,inputsans,vally,non-word,Sure word,0,,,826,54,easy to read,25-03-2019 19:37
38,Pilot,0,yes,Non-designer,2,lexical,3,inputsans,either,word,Sure word,1,,,528,54,easy to read,25-03-2019 19:37
39,Pilot,0,yes,Non-designer,2,lexical,4,inputsans,escape,word,Sure word,1,,,375,54,easy to read,25-03-2019 19:37
40,Pilot,0,yes,Non-designer,2,lexical,5,inputsans,masuld,non-word,Sure word,0,,,383,54,easy to read,25-03-2019 19:37
41,Pilot,0,yes,Non-designer,2,lexical,6,inputsans,physical,word,Sure word,1,,,657,54,easy to read,25-03-2019 19:37
42,Pilot,0,yes,Non-designer,2,lexical,7,inputsans,sountion,non-word,Sure word,0,,,603,54,easy to read,25-03-2019 19:37
43,Pilot,0,yes,Non-designer,2,lexical,8,inputsans,start,word,Sure word,1,,,501,54,easy to read,25-03-2019 19:37
44,Pilot,0,yes,Non-designer,2,lexical,9,inputsans,cittes,non-word,Sure word,0,,,511,54,easy to read,25-03-2019 19:37
45,Pilot,0,yes,Non-designer,2,lexical,10,inputsans,griends,non-word,Sure word,0,,,546,54,easy to read,25-03-2019 19:37
46,Pilot,0,yes,Non-designer,2,lexical,11,inputsans,adult,word,Sure word,1,,,711,54,easy to read,25-03-2019 19:37
47,Pilot,0,yes,Non-designer,2,lexical,12,inputsans,gatted,non-word,Sure word,0,,,849,54,easy to read,25-03-2019 19:37
48,Pilot,0,yes,Non-designer,2,lexical,13,inputsans,arould,non-word,Sure word,0,,,600,54,easy to read,25-03-2019 19:37
49,Pilot,0,yes,Non-designer,2,lexical,14,inputsans,appropriate,word,Sure word,1,,,831,54,easy to read,25-03-2019 19:37
50,Pilot,0,yes,Non-designer,2,lexical,15,inputsans,benefit,word,Sure word,1,,,696,54,easy to read,25-03-2019 19:37
51,Pilot,0,yes,Non-designer,2,lexical,16,inputsans,medical,word,Sure word,1,,,609,54,easy to read,25-03-2019 19:37
52,Pilot,0,yes,Non-designer,2,lexical,17,inputsans,pritialing,non-word,Sure word,0,,,592,54,easy to read,25-03-2019 19:37
53,Pilot,0,yes,Non-designer,2,lexical,18,inputsans,treselved,non-word,Sure word,0,,,640,54,easy to read,25-03-2019 19:37
54,Pilot,0,yes,Non-designer,2,lexical,19,inputsans,uneard,non-word,Sure word,0,,,607,54,easy to read,25-03-2019 19:37
55,Pilot,0,yes,Non-designer,2,lexical,20,inputsans,always,word,Sure word,1,,,617,54,easy to read,25-03-2019 19:37
56,Pilot,0,yes,Non-designer,2,recognition,1,inputsans,cittes,non-word,Sure seen,1,seen,cittes,2631,54,easy to read,25-03-2019 19:37
57,Pilot,0,yes,Non-designer,2,recognition,2,inputsans,statement,word,Sure seen,0,non-seen,start,591,54,easy to read,25-03-2019 19:37
58,Pilot,0,yes,Non-designer,2,recognition,3,inputsans,matisiber,non-word,Sure seen,0,non-seen,masuld,528,54,easy to read,25-03-2019 19:37
59,Pilot,0,yes,Non-designer,2,recognition,4,inputsans,besides,word,Sure seen,0,non-seen,benefit,505,54,easy to read,25-03-2019 19:37
60,Pilot,0,yes,Non-designer,2,recognition,5,inputsans,especially,word,Sure seen,0,non-seen,escape,583,54,easy to read,25-03-2019 19:37
61,Pilot,0,yes,Non-designer,2,recognition,6,inputsans,sooked,non-word,Sure seen,0,non-seen,sountion,511,54,easy to read,25-03-2019 19:37
62,Pilot,0,yes,Non-designer,2,recognition,7,inputsans,arould,non-word,Sure seen,1,seen,arould,449,54,easy to read,25-03-2019 19:37
63,Pilot,0,yes,Non-designer,2,recognition,8,inputsans,proception,non-word,Sure seen,0,non-seen,pritialing,432,54,easy to read,25-03-2019 19:37
64,Pilot,0,yes,Non-designer,2,recognition,9,inputsans,trevation,non-word,Sure seen,0,non-seen,treselved,433,54,easy to read,25-03-2019 19:37
65,Pilot,0,yes,Non-designer,2,recognition,10,inputsans,appropriate,word,Sure seen,1,seen,appropriate,448,54,easy to read,25-03-2019 19:37
66,Pilot,0,yes,Non-designer,2,recognition,11,inputsans,adult,word,Sure seen,1,seen,adult,495,54,easy to read,25-03-2019 19:37
67,Pilot,0,yes,Non-designer,2,recognition,12,inputsans,physical,word,Sure seen,1,seen,physical,440,54,easy to read,25-03-2019 19:37
68,Pilot,0,yes,Non-designer,2,recognition,13,inputsans,uneard,non-word,Sure seen,1,seen,uneard,321,54,easy to read,25-03-2019 19:37
69,Pilot,0,yes,Non-designer,2,recognition,14,inputsans,pattern,word,Sure seen,1,seen,pattern,575,54,easy to read,25-03-2019 19:37
70,Pilot,0,yes,Non-designer,2,recognition,15,inputsans,vally,non-word,Sure seen,1,seen,vally,681,54,easy to read,25-03-2019 19:37
71,Pilot,0,yes,Non-designer,2,recognition,16,inputsans,meeting,word,Sure seen,0,non-seen,medical,511,54,easy to read,25-03-2019 19:37
72,Pilot,1,yes,Non-designer,1,lexical,1,sansforgetica,common,word,Sure word,1,,,2752,40,easy to read,19-03-2019 16:35
73,Pilot,1,yes,Non-designer,1,lexical,2,sansforgetica,carefully,word,Sure word,1,,,1810,40,easy to read,19-03-2019 16:35
