,StudyID,ParticipantID,Fluent,Training,TestID,Type,TrialID,Font,Sample,Category,Response,Correct,Seen,Foil,RT,RTnorm,JoM,JoL,Date
34,1,0,True,Letter designer,1,recognition,15,arial,rectined,non-word,Sure not seen,1.0,not seen,refectuning,1665.0,7.4175804024145435,34,very easy to read,05-04-2019 12:16
35,1,0,True,Letter designer,1,recognition,16,arial,gazark,non-word,Sure seen,1.0,seen,gazark,1623.0,7.392031567514591,34,very easy to read,05-04-2019 12:16
36,1,0,True,Letter designer,2,lexical,1,sansforgetica,tealissed,non-word,Probably non-word,1.0,,,6800.0,8.824677891164196,35,difficult to read,05-04-2019 12:16
37,1,0,True,Letter designer,2,lexical,2,sansforgetica,partly,word,Sure word,1.0,,,1685.0,7.429520842786462,35,difficult to read,05-04-2019 12:16
38,1,0,True,Letter designer,2,lexical,3,sansforgetica,pulled,word,Sure word,1.0,,,4470.0,8.405143687607614,35,difficult to read,05-04-2019 12:16
39,1,0,True,Letter designer,2,lexical,4,sansforgetica,gream,non-word,Probably word,0.0,,,4570.0,8.42726848388825,35,difficult to read,05-04-2019 12:16
40,1,0,True,Letter designer,2,lexical,5,sansforgetica,goverpream,non-word,Sure non-word,1.0,,,3137.0,8.051022208190679,35,difficult to read,05-04-2019 12:16
41,1,0,True,Letter designer,2,lexical,6,sansforgetica,maintenting,non-word,Probably non-word,1.0,,,2715.0,7.906547232368037,35,difficult to read,05-04-2019 12:16
42,1,0,True,Letter designer,2,lexical,7,sansforgetica,capacity,word,Sure word,1.0,,,1282.0,7.156176637480615,35,difficult to read,05-04-2019 12:16
43,1,0,True,Letter designer,2,lexical,8,sansforgetica,third,word,Sure word,1.0,,,1033.0,6.940222469119639,35,difficult to read,05-04-2019 12:16
44,1,0,True,Letter designer,2,lexical,9,sansforgetica,drove,word,Sure word,1.0,,,941.0,6.846943139585379,35,difficult to read,05-04-2019 12:16
45,1,0,True,Letter designer,2,lexical,10,sansforgetica,government,word,Sure word,1.0,,,1057.0,6.963189985870238,35,difficult to read,05-04-2019 12:16
46,1,0,True,Letter designer,2,lexical,11,sansforgetica,serry,non-word,Sure word,0.0,,,845.0,6.739336627357174,35,difficult to read,05-04-2019 12:16
47,1,0,True,Letter designer,2,lexical,12,sansforgetica,trandforing,non-word,Sure non-word,1.0,,,2071.0,7.6357868613955855,35,difficult to read,05-04-2019 12:16
48,1,0,True,Letter designer,2,lexical,13,sansforgetica,rincies,non-word,Sure non-word,1.0,,,1039.0,6.946013991099227,35,difficult to read,05-04-2019 12:16
49,1,0,True,Letter designer,2,lexical,14,sansforgetica,trust,word,Sure word,1.0,,,1289.0,7.161622002939187,35,difficult to read,05-04-2019 12:16
50,1,0,True,Letter designer,2,lexical,15,sansforgetica,financial,word,Sure word,1.0,,,1053.0,6.959398512133975,35,difficult to read,05-04-2019 12:16
51,1,0,True,Letter designer,2,lexical,16,sansforgetica,stories,word,Sure word,1.0,,,890.0,6.7912214627261855,35,difficult to read,05-04-2019 12:16
52,1,0,True,Letter designer,2,lexical,17,sansforgetica,fissely,non-word,Sure non-word,1.0,,,1152.0,7.049254841255838,35,difficult to read,05-04-2019 12:16
53,1,0,True,Letter designer,2,lexical,18,sansforgetica,simplete,non-word,Probably word,0.0,,,1811.0,7.501634457883411,35,difficult to read,05-04-2019 12:16
54,1,0,True,Letter designer,2,lexical,19,sansforgetica,nontrantion,non-word,Probably non-word,1.0,,,3384.0,8.126813720726114,35,difficult to read,05-04-2019 12:16
55,1,0,True,Letter designer,2,lexical,20,sansforgetica,supply,word,Sure word,1.0,,,1225.0,7.110696122978827,35,difficult to read,05-04-2019 12:16
56,1,0,True,Letter designer,2,recognition,1,sansforgetica,teliquely,non-word,Sure not seen,1.0,not seen,tealissed,2300.0,7.7406644019172415,35,difficult to read,05-04-2019 12:16
57,1,0,True,Letter designer,2,recognition,2,sansforgetica,trust,word,Sure seen,1.0,seen,trust,1152.0,7.049254841255838,35,difficult to read,05-04-2019 12:16
58,1,0,True,Letter designer,2,recognition,3,sansforgetica,maintenting,non-word,Sure seen,1.0,seen,maintenting,2039.0,7.620214770574456,35,difficult to read,05-04-2019 12:16
59,1,0,True,Letter designer,2,recognition,4,sansforgetica,goverpream,non-word,Sure seen,1.0,seen,goverpream,2957.0,7.991930519852477,35,difficult to read,05-04-2019 12:16
60,1,0,True,Letter designer,2,recognition,5,sansforgetica,simplete,non-word,Sure seen,1.0,seen,simplete,1428.0,7.2640301428995295,35,difficult to read,05-04-2019 12:16
61,1,0,True,Letter designer,2,recognition,6,sansforgetica,third,word,Sure seen,1.0,seen,third,940.0,6.84587987526405,35,difficult to read,05-04-2019 12:16
62,1,0,True,Letter designer,2,recognition,7,sansforgetica,gradually,word,Probably not seen,1.0,not seen,government,1839.0,7.516977224604322,35,difficult to read,05-04-2019 12:16
63,1,0,True,Letter designer,2,recognition,8,sansforgetica,greathant,non-word,Sure not seen,1.0,not seen,gream,1386.0,7.234177179749849,35,difficult to read,05-04-2019 12:16
64,1,0,True,Letter designer,2,recognition,9,sansforgetica,finding,word,Probably seen,0.0,not seen,financial,2285.0,7.734121303328305,35,difficult to read,05-04-2019 12:16
65,1,0,True,Letter designer,2,recognition,10,sansforgetica,riner,non-word,Sure not seen,1.0,not seen,rincies,1274.0,7.149916836132108,35,difficult to read,05-04-2019 12:16
66,1,0,True,Letter designer,2,recognition,11,sansforgetica,purpose,word,Sure not seen,1.0,not seen,pulled,1465.0,7.289610521451168,35,difficult to read,05-04-2019 12:16
67,1,0,True,Letter designer,2,recognition,12,sansforgetica,stories,word,Sure seen,1.0,seen,stories,1118.0,7.0192966537150445,35,difficult to read,05-04-2019 12:16
68,1,0,True,Letter designer,2,recognition,13,sansforgetica,supply,word,Sure seen,1.0,seen,supply,826.0,6.716594773520978,35,difficult to read,05-04-2019 12:16
69,1,0,True,Letter designer,2,recognition,14,sansforgetica,parts,word,Sure seen,0.0,not seen,partly,1036.0,6.943122422819427,35,difficult to read,05-04-2019 12:16
70,1,0,True,Letter designer,2,recognition,15,sansforgetica,fissity,non-word,Sure not seen,1.0,not seen,fissely,1238.0,7.121252453244543,35,difficult to read,05-04-2019 12:16
71,1,0,True,Letter designer,2,recognition,16,sansforgetica,nontrantion,non-word,Sure seen,1.0,seen,nontrantion,1813.0,7.502738210754851,35,difficult to read,05-04-2019 12:16
72,1,1,True,Letter designer,1,lexical,1,sansforgetica,objectial,non-word,Probably word,0.0,,,7498.0,8.922391597295858,25,difficult to read,05-04-2019 11:41
73,1,1,True,Letter designer,1,lexical,2,sansforgetica,minisity,non-word,Probably non-word,1.0,,,6528.0,8.783855896643942,25,difficult to read,05-04-2019 11:41
74,1,1,True,Letter designer,1,lexical,3,sansforgetica,wetween,non-word,Sure non-word,1.0,,,2967.0,7.995306620290822,25,difficult to read,05-04-2019 11:41
75,1,1,True,Letter designer,1,lexical,4,sansforgetica,standing,word,Sure word,1.0,,,2048.0,7.6246189861593985,25,difficult to read,05-04-2019 11:41
76,1,1,True,Letter designer,1,lexical,5,sansforgetica,getting,word,Sure word,1.0,,,2848.0,7.954372272531867,25,difficult to read,05-04-2019 11:41
77,1,1,True,Letter designer,1,lexical,6,sansforgetica,disgrestors,non-word,Probably word,0.0,,,3768.0,8.234299635696253,25,difficult to read,05-04-2019 11:41
78,1,1,True,Letter designer,1,lexical,7,sansforgetica,having,word,Sure word,1.0,,,1416.0,7.255591274253665,25,difficult to read,05-04-2019 11:41
79,1,1,True,Letter designer,1,lexical,8,sansforgetica,settled,word,Sure word,1.0,,,1632.0,7.397561535524052,25,difficult to read,05-04-2019 11:41
80,1,1,True,Letter designer,1,lexical,9,sansforgetica,courch,non-word,Sure non-word,1.0,,,5185.0,8.553525120663627,25,difficult to read,05-04-2019 11:41
81,1,1,True,Letter designer,1,lexical,10,sansforgetica,riner,non-word,Probably non-word,1.0,,,7350.0,8.902455592206882,25,difficult to read,05-04-2019 11:41
82,1,1,True,Letter designer,1,lexical,11,sansforgetica,seriously,word,Sure word,1.0,,,1840.0,7.517520850603031,25,difficult to read,05-04-2019 11:41
83,1,1,True,Letter designer,1,lexical,12,sansforgetica,fashing,non-word,Probably non-word,1.0,,,6625.0,8.798605650854421,25,difficult to read,05-04-2019 11:41
84,1,1,True,Letter designer,1,lexical,13,sansforgetica,leaves,word,Sure word,1.0,,,3679.0,8.210396255104772,25,difficult to read,05-04-2019 11:41
85,1,1,True,Letter designer,1,lexical,14,sansforgetica,reasonatic,non-word,Probably non-word,1.0,,,3865.0,8.259716961021523,25,difficult to read,05-04-2019 11:41
86,1,1,True,Letter designer,1,lexical,15,sansforgetica,turning,word,Sure word,1.0,,,1967.0,7.584264818389058,25,difficult to read,05-04-2019 11:41
87,1,1,True,Letter designer,1,lexical,16,sansforgetica,pulled,word,Sure word,1.0,,,1393.0,7.2392149737798075,25,difficult to read,05-04-2019 11:41
88,1,1,True,Letter designer,1,lexical,17,sansforgetica,conventment,non-word,Probably word,0.0,,,2678.0,7.892825526251117,25,difficult to read,05-04-2019 11:41
89,1,1,True,Letter designer,1,lexical,18,sansforgetica,faterb,non-word,Sure non-word,1.0,,,4450.0,8.400659375160286,25,difficult to read,05-04-2019 11:41
90,1,1,True,Letter designer,1,lexical,19,sansforgetica,recognize,word,Sure word,1.0,,,2151.0,7.673688129267731,25,difficult to read,05-04-2019 11:41
91,1,1,True,Letter designer,1,lexical,20,sansforgetica,general,word,Sure word,1.0,,,1240.0,7.122866658599082,25,difficult to read,05-04-2019 11:41
92,1,1,True,Letter designer,1,recognition,1,sansforgetica,leaves,word,Sure seen,1.0,seen,leaves,3640.0,8.199738960630786,25,difficult to read,05-04-2019 11:41
93,1,1,True,Letter designer,1,recognition,2,sansforgetica,servants,word,Sure not seen,1.0,not seen,seriously,4689.0,8.452974619089586,25,difficult to read,05-04-2019 11:41
94,1,1,True,Letter designer,1,recognition,3,sansforgetica,minned,non-word,Sure not seen,1.0,not seen,minisity,1695.0,7.4354380198145495,25,difficult to read,05-04-2019 11:41
95,1,1,True,Letter designer,1,recognition,4,sansforgetica,courch,non-word,Sure seen,1.0,seen,courch,1911.0,7.555381944240272,25,difficult to read,05-04-2019 11:41
96,1,1,True,Letter designer,1,recognition,5,sansforgetica,whaiming,non-word,Sure not seen,1.0,not seen,wetween,1649.0,7.407924322559599,25,difficult to read,05-04-2019 11:41
97,1,1,True,Letter designer,1,recognition,6,sansforgetica,farkeyary,non-word,Sure not seen,1.0,not seen,fashing,1887.0,7.54274354536855,25,difficult to read,05-04-2019 11:41
98,1,1,True,Letter designer,1,recognition,7,sansforgetica,faterb,non-word,Sure seen,1.0,seen,faterb,2305.0,7.742835955430748,25,difficult to read,05-04-2019 11:41
99,1,1,True,Letter designer,1,recognition,8,sansforgetica,having,word,Sure seen,1.0,seen,having,1302.0,7.171656822768514,25,difficult to read,05-04-2019 11:41
100,1,1,True,Letter designer,1,recognition,9,sansforgetica,turning,word,Sure seen,1.0,seen,turning,2648.0,7.881559917056898,25,difficult to read,05-04-2019 11:41
101,1,1,True,Letter designer,1,recognition,10,sansforgetica,record,word,Probably not seen,1.0,not seen,recognize,6088.0,8.714074899541522,25,difficult to read,05-04-2019 11:41
102,1,1,True,Letter designer,1,recognition,11,sansforgetica,reasonatic,non-word,Probably seen,1.0,seen,reasonatic,6009.0,8.701013624333928,25,difficult to read,05-04-2019 11:41
103,1,1,True,Letter designer,1,recognition,12,sansforgetica,purpose,word,Probably not seen,1.0,not seen,pulled,2487.0,7.818832443803403,25,difficult to read,05-04-2019 11:41
104,1,1,True,Letter designer,1,recognition,13,sansforgetica,rivice,non-word,Probably not seen,1.0,not seen,riner,3833.0,8.251403065380556,25,difficult to read,05-04-2019 11:41
105,1,1,True,Letter designer,1,recognition,14,sansforgetica,general,word,Sure seen,1.0,seen,general,1367.0,7.220373836723948,25,difficult to read,05-04-2019 11:41
106,1,1,True,Letter designer,1,recognition,15,sansforgetica,disgrestors,non-word,Sure seen,1.0,seen,disgrestors,1688.0,7.431299675155902,25,difficult to read,05-04-2019 11:41
107,1,1,True,Letter designer,1,recognition,16,sansforgetica,seven,word,Sure not seen,1.0,not seen,settled,1689.0,7.4318919168078,25,difficult to read,05-04-2019 11:41
108,1,1,True,Letter designer,2,lexical,1,arial,essential,word,Sure word,1.0,,,2408.0,7.7865518064287125,50,easy to read,05-04-2019 11:41
109,1,1,True,Letter designer,2,lexical,2,arial,surtine,non-word,Sure non-word,1.0,,,4129.0,8.32579052588609,50,easy to read,05-04-2019 11:41
110,1,1,True,Letter designer,2,lexical,3,arial,nation,word,Sure word,1.0,,,1576.0,7.362645270417825,50,easy to read,05-04-2019 11:41
111,1,1,True,Letter designer,2,lexical,4,arial,finally,word,Sure word,1.0,,,1103.0,7.005789019253503,50,easy to read,05-04-2019 11:41
112,1,1,True,Letter designer,2,lexical,5,arial,appresses,non-word,Probably non-word,1.0,,,6506.0,8.780480107033299,50,easy to read,05-04-2019 11:41
113,1,1,True,Letter designer,2,lexical,6,arial,greselect,non-word,Sure non-word,1.0,,,5398.0,8.59378379357795,50,easy to read,05-04-2019 11:41
114,1,1,True,Letter designer,2,lexical,7,arial,whainest,non-word,Probably word,0.0,,,2760.0,7.9229859587111955,50,easy to read,05-04-2019 11:41
115,1,1,True,Letter designer,2,lexical,8,arial,mother,word,Sure word,1.0,,,1560.0,7.352441100243581,50,easy to read,05-04-2019 11:41
116,1,1,True,Letter designer,2,lexical,9,arial,natural,word,Sure word,1.0,,,2752.0,7.920083199053233,50,easy to read,05-04-2019 11:41
117,1,1,True,Letter designer,2,lexical,10,arial,thought,word,Sure word,1.0,,,1088.0,6.992096427415887,50,easy to read,05-04-2019 11:41
118,1,1,True,Letter designer,2,lexical,11,arial,lonour,non-word,Sure non-word,1.0,,,5751.0,8.657129031713755,50,easy to read,05-04-2019 11:41
119,1,1,True,Letter designer,2,lexical,12,arial,feels,word,Sure word,1.0,,,1816.0,7.504391559161237,50,easy to read,05-04-2019 11:41
120,1,1,True,Letter designer,2,lexical,13,arial,sligince,non-word,Sure non-word,1.0,,,1400.0,7.244227515603349,50,easy to read,05-04-2019 11:41
121,1,1,True,Letter designer,2,lexical,14,arial,trouble,word,Sure word,1.0,,,1264.0,7.142036574706802,50,easy to read,05-04-2019 11:41
122,1,1,True,Letter designer,2,lexical,15,arial,ideas,word,Sure word,1.0,,,1113.0,7.014814351275545,50,easy to read,05-04-2019 11:41
123,1,1,True,Letter designer,2,lexical,16,arial,londow,non-word,Probably word,0.0,,,5484.0,8.609590040682205,50,easy to read,05-04-2019 11:41
124,1,1,True,Letter designer,2,lexical,17,arial,backling,non-word,Probably word,0.0,,,1988.0,7.594884387216519,50,easy to read,05-04-2019 11:41
125,1,1,True,Letter designer,2,lexical,18,arial,manner,word,Sure word,1.0,,,1303.0,7.172424577124845,50,easy to read,05-04-2019 11:41
126,1,1,True,Letter designer,2,lexical,19,arial,exprinuous,non-word,Probably word,0.0,,,2528.0,7.8351837552667485,50,easy to read,05-04-2019 11:41
127,1,1,True,Letter designer,2,lexical,20,arial,preance,non-word,Probably word,0.0,,,3192.0,8.068402958569699,50,easy to read,05-04-2019 11:41
128,1,1,True,Letter designer,2,recognition,1,arial,sligince,non-word,Probably not seen,0.0,seen,sligince,3558.0,8.17695386822578,50,easy to read,05-04-2019 11:41
129,1,1,True,Letter designer,2,recognition,2,arial,trust,word,Probably not seen,1.0,not seen,trouble,5679.0,8.644530439877432,50,easy to read,05-04-2019 11:41
130,1,1,True,Letter designer,2,recognition,3,arial,preance,non-word,Sure seen,1.0,seen,preance,1593.0,7.373374309910048,50,easy to read,05-04-2019 11:41
131,1,1,True,Letter designer,2,recognition,4,arial,financial,word,Sure not seen,1.0,not seen,finally,1601.0,7.378383712996714,50,easy to read,05-04-2019 11:41
132,1,1,True,Letter designer,2,recognition,5,arial,essential,word,Sure seen,1.0,seen,essential,1672.0,7.421775793644648,50,easy to read,05-04-2019 11:41
133,1,1,True,Letter designer,2,recognition,6,arial,ideas,word,Sure seen,1.0,seen,ideas,1015.0,6.922643891475888,50,easy to read,05-04-2019 11:41
134,1,1,True,Letter designer,2,recognition,7,arial,appressite,non-word,Sure seen,0.0,not seen,appresses,2176.0,7.685243607975832,50,easy to read,05-04-2019 11:41
135,1,1,True,Letter designer,2,recognition,8,arial,backling,non-word,Sure seen,1.0,seen,backling,1136.0,7.035268599281098,50,easy to read,05-04-2019 11:41
136,1,1,True,Letter designer,2,recognition,9,arial,lonour,non-word,Sure seen,1.0,seen,lonour,1112.0,7.013915474810528,50,easy to read,05-04-2019 11:41
137,1,1,True,Letter designer,2,recognition,10,arial,national,word,Sure seen,0.0,not seen,nation,1032.0,6.939253946041508,50,easy to read,05-04-2019 11:41
138,1,1,True,Letter designer,2,recognition,11,arial,thought,word,Sure seen,1.0,seen,thought,904.0,6.806829360392176,50,easy to read,05-04-2019 11:41
139,1,1,True,Letter designer,2,recognition,12,arial,mother,word,Sure seen,1.0,seen,mother,888.0,6.78897174299217,50,easy to read,05-04-2019 11:41
140,1,1,True,Letter designer,2,recognition,13,arial,extremics,non-word,Sure not seen,1.0,not seen,exprinuous,1656.0,7.412160334945206,50,easy to read,05-04-2019 11:41
141,1,1,True,Letter designer,2,recognition,14,arial,lonnot,non-word,Sure not seen,1.0,not seen,londow,1736.0,7.459338895220297,50,easy to read,05-04-2019 11:41
142,1,1,True,Letter designer,2,recognition,15,arial,griends,non-word,Sure not seen,1.0,not seen,greselect,1512.0,7.321188556739478,50,easy to read,05-04-2019 11:41
143,1,1,True,Letter designer,2,recognition,16,arial,market,word,Sure not seen,1.0,not seen,manner,3016.0,8.011686729127849,50,easy to read,05-04-2019 11:41
144,1,2,True,Non-designer,1,lexical,1,sansforgetica,responsible,word,Sure word,1.0,,,2104.0,7.651595573857602,35,difficult to read,05-04-2019 09:45
