,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date
25,1,128,1,recognition,2,arial,False,Other designer,True,arial,0.9375,2101.0625,7.5702995152011106,2361.875,1840.25,7.671644829866866,7.468954200535352,0.9375,1.0,0.875,100.0,15,29-04-2019 08:52
26,1,128,2,lexical,1,arial,False,Other designer,True,sansforgetica,0.95,2639.8,7.811653016579278,2252.4,3027.2,7.660512371068381,7.962793662090173,0.9500000000000001,,,0.0,15,29-04-2019 08:52
27,1,128,2,recognition,2,arial,False,Other designer,True,sansforgetica,1.0,1839.0625,7.45885113911047,1759.875,1918.25,7.389877226696381,7.527825051524561,1.0,1.0,1.0,0.0,15,29-04-2019 08:52
28,1,129,1,lexical,1,arial,True,Letter designer,True,arial,1.0,2111.25,7.585259564726722,1758.9,2463.6,7.433549605108669,7.736969524344778,1.0,,,75.0,59,29-04-2019 04:08
29,1,129,1,recognition,2,arial,True,Letter designer,True,arial,0.875,2234.25,7.589523396404202,2222.375,2246.125,7.612136825030681,7.5669099677777245,0.921875,0.8125,1.0,75.0,59,29-04-2019 04:08
30,1,129,2,lexical,1,arial,True,Letter designer,True,sansforgetica,1.0,2180.4,7.6057552245013955,1685.4,2675.4,7.414734937874362,7.796775511128428,1.0,,,25.0,50,29-04-2019 04:08
31,1,129,2,recognition,2,arial,True,Letter designer,True,sansforgetica,0.625,1704.4375,7.383788018296277,1463.625,1945.25,7.226576034944541,7.541000001648014,0.671875,0.75,0.59375,25.0,50,29-04-2019 04:08
32,1,130,1,lexical,1,arial,True,Non-designer,False,arial,1.0,2419.05,7.729841129999455,2088.8,2749.3,7.586204535363997,7.873477724634912,1.0,,,100.0,50,28-04-2019 16:32
33,1,130,1,recognition,2,arial,True,Non-designer,False,arial,0.875,2501.6875,7.701447994531156,2406.0,2597.375,7.661401078462379,7.741494910599932,0.875,0.875,0.875,100.0,50,28-04-2019 16:32
34,1,130,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,1871.85,7.387601718961593,1359.7,2384.0,7.201464474007459,7.573738963915725,1.0,,,25.0,50,28-04-2019 16:32
35,1,130,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.8125,2146.6875,7.539861992299585,2067.0,2226.375,7.4319103411478835,7.647813643451284,0.8359375,0.75,0.9375,25.0,50,28-04-2019 16:32
36,1,131,1,lexical,1,arial,True,Graphic designer,True,arial,0.55,2914.2,7.742256163409577,1573.4,4255.0,7.304911297429831,8.179601029389321,0.7999999999999999,,,100.0,50,27-04-2019 16:14
37,1,131,1,recognition,2,arial,True,Graphic designer,True,arial,0.5,2246.75,7.599744044851692,1383.0,3110.5,7.226252258366158,7.973235831337225,0.4375,0.5,0.375,100.0,50,27-04-2019 16:14
38,1,131,2,lexical,1,arial,True,Graphic designer,True,sansforgetica,0.6,2797.95,7.774321281379746,2188.2,3407.7,7.472452337946983,8.07619022481251,0.9500000000000001,,,50.0,50,27-04-2019 16:14
39,1,131,2,recognition,2,arial,True,Graphic designer,True,sansforgetica,0.5,2120.5625,7.622047030600677,1733.125,2508.0,7.438003806327377,7.806090254873979,0.5,0.5,0.5,50.0,50,27-04-2019 16:14
40,1,132,1,lexical,1,arial,True,Graphic designer,True,arial,0.8,3080.2,7.902863497893216,2116.4,4044.0,7.601705487165707,8.204021508620727,0.88,,,100.0,71,27-04-2019 14:03
41,1,132,1,recognition,2,arial,True,Graphic designer,True,arial,0.875,2845.125,7.775520173714375,2895.125,2795.125,7.718817907826974,7.832222439601776,0.90625,0.75,1.0,100.0,71,27-04-2019 14:03
42,1,132,2,lexical,1,arial,True,Graphic designer,True,sansforgetica,0.95,3049.35,7.871307217890198,2703.5,3395.2,7.724695876974787,8.017918558805613,1.0,,,50.0,54,27-04-2019 14:03
43,1,132,2,recognition,2,arial,True,Graphic designer,True,sansforgetica,0.625,4344.375,8.190616119265778,3895.375,4793.375,8.151048972886926,8.23018326564463,0.703125,0.9375,0.625,50.0,54,27-04-2019 14:03
44,1,133,1,lexical,1,arial,True,Letter designer,True,arial,1.0,2852.0,7.833037472879893,2025.1,3678.9,7.5111216231011015,8.154953322658688,1.0,,,100.0,40,12-04-2019 06:47
45,1,133,1,recognition,2,arial,True,Letter designer,True,arial,0.8125,2623.125,7.684112764591786,3233.5,2012.75,7.790638517024224,7.57758701215935,0.8671875,0.8125,0.90625,100.0,40,12-04-2019 06:47
46,1,133,2,lexical,1,arial,True,Letter designer,True,sansforgetica,1.0,2867.25,7.778983450106471,2482.6,3251.9,7.5261675183072585,8.031799381905682,1.0,,,25.0,34,12-04-2019 06:47
47,1,133,2,recognition,2,arial,True,Letter designer,True,sansforgetica,0.9375,2275.0,7.682586057221381,2299.625,2250.375,7.680001900724266,7.685170213718494,0.96875,0.90625,1.0,25.0,34,12-04-2019 06:47
