,StudyID,ParticipantID,TestID,Type,TaskID,Order,Ordertype,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
25,1,6,1,recognition,2,2.0,,arial,False,Other designer,True,arial,0.9375,1883.62890625,7.506714087859486,,1840.25,,7.517656710938815,0.9375,1.0,0.875,100.0,15,29-04-2019 08:52,2.6362321433056364,2.6362321433056364,3.141592653589793,2.4188584057763776
26,1,6,2,lexical,3,1.0,,arial,False,Other designer,True,sansforgetica,0.95,2639.8,7.811653016579278,,,,,0.9500000000000001,,,0.0,15,29-04-2019 08:52,2.690565841793531,2.6905658417935303,,
27,1,6,2,recognition,4,2.0,,arial,False,Other designer,True,sansforgetica,1.0,1839.0625,7.45885113911047,,1918.25,,7.559168591057775,1.0,1.0,1.0,0.0,15,29-04-2019 08:52,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
28,1,7,1,lexical,1,1.0,,arial,True,Letter designer,True,arial,1.0,1981.09125,7.545539065939326,,,,,1.0,,,75.0,59,29-04-2019 04:08,3.141592653589793,3.141592653589793,,
29,1,7,1,recognition,2,2.0,,arial,True,Letter designer,True,arial,0.875,1833.35546875,7.4705001981420756,,1736.79296875,,7.45979557016229,0.921875,0.8125,1.0,75.0,59,29-04-2019 04:08,2.575028322968715,2.4188584057763776,2.245927859731928,3.141592653589793
30,1,7,2,lexical,3,1.0,,arial,True,Letter designer,True,sansforgetica,1.0,1926.59125,7.545074833049585,,,,,1.0,,,25.0,50,29-04-2019 04:08,3.141592653589793,3.141592653589793,,
31,1,7,2,recognition,4,2.0,,arial,True,Letter designer,True,sansforgetica,0.625,1704.4375,7.383788018296277,,1945.25,,7.57314578249704,0.671875,0.75,0.59375,25.0,50,29-04-2019 04:08,1.9217036703859776,1.8234765819369754,2.0943951023931953,1.7594127129703006
32,1,8,1,lexical,1,1.0,,arial,True,Non-designer,False,arial,1.0,2419.05,7.729841129999455,,,,,1.0,,,100.0,50,28-04-2019 16:32,3.141592653589793,3.141592653589793,,
33,1,8,1,recognition,2,2.0,,arial,True,Non-designer,False,arial,0.875,2062.3984375,7.586310766850842,,2155.6484375,,7.675846856348727,0.875,0.875,0.875,100.0,50,28-04-2019 16:32,2.4188584057763776,2.4188584057763776,2.4188584057763776,2.4188584057763776
34,1,8,2,lexical,3,1.0,,arial,True,Non-designer,False,sansforgetica,1.0,1628.0725,7.3283239020891795,,,,,1.0,,,25.0,50,28-04-2019 16:32,3.141592653589793,3.141592653589793,,
