,ParticipantID,Type,TestID,TrialID,StudyID,Fluent,Training,Font,Sample,Category,Response,Correct,Seen,Foil,RT,RTnorm,JoM,JoL,Date
34,0,recognition,1,15,2,True,Non-designer,sansforgetica,coupid,non-word,Sure seen,1.0,seen,coupid,1306.0,7.1747243098363755,70,easy to read,30-05-2019 14:46
35,0,recognition,1,16,2,True,Non-designer,sansforgetica,moment,word,Probably not seen,1.0,not seen,modern,1991.0,7.596392304064197,70,easy to read,30-05-2019 14:46
36,0,lexical,2,1,2,True,Non-designer,sansforgetica,calculgical,non-word,Probably non-word,1.0,,,2082.125,7.641144285797272,55,difficult to read,30-05-2019 14:46
37,0,lexical,2,2,2,True,Non-designer,sansforgetica,computer,word,Sure word,1.0,,,1345.0,7.2041492920359405,55,difficult to read,30-05-2019 14:46
38,0,lexical,2,3,2,True,Non-designer,sansforgetica,government,word,Sure word,1.0,,,1602.0,7.379008127628304,55,difficult to read,30-05-2019 14:46
39,0,lexical,2,4,2,True,Non-designer,sansforgetica,character,word,Sure word,1.0,,,1872.0,7.534762657037537,55,difficult to read,30-05-2019 14:46
40,0,lexical,2,5,2,True,Non-designer,sansforgetica,pariods,non-word,Probably non-word,1.0,,,2548.0,7.843064016692054,55,difficult to read,30-05-2019 14:46
41,0,lexical,2,6,2,True,Non-designer,sansforgetica,foldness,non-word,Probably non-word,1.0,,,1832.0,7.513163545234076,55,difficult to read,30-05-2019 14:46
42,0,lexical,2,7,2,True,Non-designer,sansforgetica,discussed,word,Sure word,1.0,,,1980.0,7.590852123688581,55,difficult to read,30-05-2019 14:46
43,0,lexical,2,8,2,True,Non-designer,sansforgetica,prohialized,non-word,Probably non-word,1.0,,,4270.0,8.35936910622267,55,difficult to read,30-05-2019 14:46
44,0,lexical,2,9,2,True,Non-designer,sansforgetica,murder,word,Sure word,1.0,,,1518.0,7.325148957955575,55,difficult to read,30-05-2019 14:46
45,0,lexical,2,10,2,True,Non-designer,sansforgetica,thank,word,Sure word,1.0,,,1128.0,7.0282014320580055,55,difficult to read,30-05-2019 14:46
46,0,lexical,2,11,2,True,Non-designer,sansforgetica,mesters,non-word,Probably word,0.0,,,4294.0,8.364973978438726,55,difficult to read,30-05-2019 14:46
47,0,lexical,2,12,2,True,Non-designer,sansforgetica,inderected,non-word,Probably non-word,1.0,,,3615.0,8.192847134592865,55,difficult to read,30-05-2019 14:46
48,0,lexical,2,13,2,True,Non-designer,sansforgetica,freedom,word,Sure word,1.0,,,1632.0,7.397561535524052,55,difficult to read,30-05-2019 14:46
49,0,lexical,2,14,2,True,Non-designer,sansforgetica,talked,word,Sure word,1.0,,,890.0,6.7912214627261855,55,difficult to read,30-05-2019 14:46
50,0,lexical,2,15,2,True,Non-designer,sansforgetica,straight,word,Sure word,1.0,,,1841.0,7.518064181233077,55,difficult to read,30-05-2019 14:46
51,0,lexical,2,16,2,True,Non-designer,sansforgetica,walked,word,Sure word,1.0,,,1571.0,7.359467638255621,55,difficult to read,30-05-2019 14:46
52,0,lexical,2,17,2,True,Non-designer,sansforgetica,vally,non-word,Probably non-word,1.0,,,2391.0,7.779466967458324,55,difficult to read,30-05-2019 14:46
53,0,lexical,2,18,2,True,Non-designer,sansforgetica,verving,non-word,Probably word,0.0,,,2020.0,7.61085279039525,55,difficult to read,30-05-2019 14:46
54,0,lexical,2,19,2,True,Non-designer,sansforgetica,litached,non-word,Sure non-word,1.0,,,3915.0,8.272570608424902,55,difficult to read,30-05-2019 14:46
55,0,lexical,2,20,2,True,Non-designer,sansforgetica,motter,non-word,Probably non-word,1.0,,,3784.0,8.238536930171769,55,difficult to read,30-05-2019 14:46
56,0,recognition,2,1,2,True,Non-designer,arial,calculgical,non-word,Probably seen,1.0,seen,calculgical,3544.0,8.173011311724972,55,difficult to read,30-05-2019 14:46
57,0,recognition,2,2,2,True,Non-designer,arial,victurs,non-word,Sure not seen,1.0,not seen,verving,3073.0,8.030409562130485,55,difficult to read,30-05-2019 14:46
58,0,recognition,2,3,2,True,Non-designer,arial,pariods,non-word,Sure seen,1.0,seen,pariods,1715.0,7.44716835960004,55,difficult to read,30-05-2019 14:46
59,0,recognition,2,4,2,True,Non-designer,arial,liternment,non-word,Probably seen,0.0,not seen,litached,1888.0,7.543273346705446,55,difficult to read,30-05-2019 14:46
60,0,recognition,2,5,2,True,Non-designer,arial,straight,word,Sure seen,1.0,seen,straight,1557.0,7.350516171833997,55,difficult to read,30-05-2019 14:46
61,0,recognition,2,6,2,True,Non-designer,arial,vally,non-word,Sure seen,1.0,seen,vally,1222.0,7.108244139731541,55,difficult to read,30-05-2019 14:46
62,0,recognition,2,7,2,True,Non-designer,arial,discussed,word,Sure seen,1.0,seen,discussed,929.0,6.834108738813838,55,difficult to read,30-05-2019 14:46
63,0,recognition,2,8,2,True,Non-designer,arial,freedom,word,Sure seen,1.0,seen,freedom,904.0,6.806829360392176,55,difficult to read,30-05-2019 14:46
64,0,recognition,2,9,2,True,Non-designer,arial,taste,word,Sure not seen,1.0,not seen,talked,1702.0,7.43955930913332,55,difficult to read,30-05-2019 14:46
65,0,recognition,2,10,2,True,Non-designer,arial,theatre,word,Sure not seen,1.0,not seen,thank,945.0,6.851184927493743,55,difficult to read,30-05-2019 14:46
66,0,recognition,2,11,2,True,Non-designer,arial,metween,non-word,Probably not seen,1.0,not seen,mesters,2229.0,7.709308333385869,55,difficult to read,30-05-2019 14:46
67,0,recognition,2,12,2,True,Non-designer,arial,promatic,non-word,Probably seen,0.0,not seen,prohialized,2816.0,7.943072717277932,55,difficult to read,30-05-2019 14:46
68,0,recognition,2,13,2,True,Non-designer,arial,gradually,word,Probably not seen,1.0,not seen,government,2560.0,7.847762537473607,55,difficult to read,30-05-2019 14:46
69,0,recognition,2,14,2,True,Non-designer,arial,murder,word,Sure seen,1.0,seen,murder,1200.0,7.090076835776093,55,difficult to read,30-05-2019 14:46
70,0,recognition,2,15,2,True,Non-designer,arial,foldness,non-word,Sure seen,1.0,seen,foldness,1284.0,7.1577354842499075,55,difficult to read,30-05-2019 14:46
