,StudyID,ParticipantID,TestID,Type,Order,Firstfont,Fluent,Training,isDesigner,Font,Correct,RT,RTnorm,RT_word,RT_nonword,RTnorm_word,RTnorm_nonword,AUC,AUC_word,AUC_nonword,JoL,JoM,Date,AUCnorm,Correctnorm,AUCnorm_word,AUCnorm_nonword
32,1,130,1,lexical,1,arial,True,Non-designer,False,arial,1.0,2419.05,7.729841129999455,2088.8,2749.3,7.644345017384919,7.919101612803879,1.0,,,100.0,50,28-04-2019 16:32,3.141592653589793,3.141592653589793,,
33,1,130,1,recognition,2,arial,True,Non-designer,False,arial,0.875,2062.3984375,7.586310766850842,1969.1484375,2155.6484375,7.585356463050061,7.675846856348727,0.875,0.875,0.875,100.0,50,28-04-2019 16:32,2.4188584057763776,2.4188584057763776,2.4188584057763776,2.4188584057763776
34,1,130,2,lexical,1,arial,True,Non-designer,False,sansforgetica,1.0,1628.0725,7.3283239020891795,1359.7,1896.4450000000002,7.21501936616164,7.547736359917492,1.0,,,25.0,50,28-04-2019 16:32,3.141592653589793,3.141592653589793,,
35,1,130,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.8125,1912.69921875,7.479883333181537,1599.0234375,2226.375,7.377148370325032,7.708129981258949,0.8359375,0.75,0.9375,25.0,50,28-04-2019 16:32,2.3075337272845404,2.245927859731928,2.0943951023931953,2.6362321433056364
36,1,131,1,lexical,1,arial,True,Graphic designer,True,arial,0.55,2549.3537499999998,7.67884011722546,1573.4,3525.3075,7.360994161895142,8.167722945484254,0.7999999999999999,,,100.0,50,27-04-2019 16:14,2.214297435588181,1.6709637479564565,,
37,1,131,1,recognition,2,arial,True,Graphic designer,True,arial,0.5,2091.666015625,7.552301095883371,1383.0,2800.33203125,7.232010331664759,7.9374932717222215,0.4375,0.5,0.375,100.0,50,27-04-2019 16:14,1.4454684956268313,1.5707963267948968,1.5707963267948968,1.3181160716528177
38,1,131,2,lexical,1,arial,True,Graphic designer,True,sansforgetica,0.6,2797.95,7.774321281379746,2188.2,3407.7,7.69083456704269,8.133792855905485,0.9500000000000001,,,50.0,50,27-04-2019 16:14,2.690565841793531,1.7721542475852274,,
39,1,131,2,recognition,2,arial,True,Graphic designer,True,sansforgetica,0.5,2120.5625,7.622047030600677,1733.125,2508.0,7.4576814163700424,7.827240901752812,0.5,0.5,0.5,50.0,50,27-04-2019 16:14,1.5707963267948968,1.5707963267948968,1.5707963267948968,1.5707963267948968
40,1,132,1,lexical,1,arial,True,Graphic designer,True,arial,0.8,2824.88875,7.853832640734683,2116.4,3533.3775,7.657471811029977,8.170009491353925,0.88,,,100.0,71,27-04-2019 14:03,2.4341094418104503,2.214297435588181,,
41,1,132,1,recognition,2,arial,True,Graphic designer,True,arial,0.875,2845.125,7.775520173714375,2895.125,2795.125,7.970783566967876,7.93563210730831,0.90625,0.75,1.0,100.0,71,27-04-2019 14:03,2.519224165034773,2.4188584057763776,2.0943951023931953,3.141592653589793
42,1,132,2,lexical,1,arial,True,Graphic designer,True,sansforgetica,0.95,3049.35,7.871307217890198,2703.5,3395.2,7.90230250882206,8.130117948419663,1.0,,,50.0,54,27-04-2019 14:03,3.141592653589793,2.6905658417935303,,
43,1,132,2,recognition,2,arial,True,Graphic designer,True,sansforgetica,0.625,3850.859375,8.117985514731416,3895.375,3806.34375,8.267545230949052,8.244424361696753,0.703125,0.9375,0.625,50.0,54,27-04-2019 14:03,1.9891427132383648,1.8234765819369754,2.6362321433056364,1.8234765819369754
44,1,133,1,lexical,1,arial,True,Letter designer,True,arial,1.0,2852.0,7.833037472879893,2025.1,3678.9,7.613374361037403,8.21036907343609,1.0,,,100.0,40,12-04-2019 06:47,3.141592653589793,3.141592653589793,,
45,1,133,1,recognition,2,arial,True,Letter designer,True,arial,0.8125,2084.06640625,7.589806844583303,2155.3828125,2012.75,7.675723625973009,7.60725722518009,0.8671875,0.8125,0.90625,100.0,40,12-04-2019 06:47,2.3955417299803723,2.245927859731928,2.245927859731928,2.519224165034773
46,1,133,2,lexical,1,arial,True,Letter designer,True,sansforgetica,1.0,2489.68125,7.714374827999531,1727.4625,3251.9,7.4544088477361665,8.086994719887398,1.0,,,25.0,34,12-04-2019 06:47,3.141592653589793,3.141592653589793,,
47,1,133,2,recognition,2,arial,True,Letter designer,True,sansforgetica,0.9375,2275.0,7.682586057221381,2299.625,2250.375,7.7405013451459475,7.7188521479777865,0.96875,0.90625,1.0,25.0,34,12-04-2019 06:47,2.7861714518995697,2.6362321433056364,2.519224165034773,3.141592653589793
48,1,134,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,0.9,2227.7475,7.658757659989142,1811.2,2644.295,7.501744888008864,7.880159768121407,0.9,,,50.0,38,12-04-2019 05:45,2.498091544796509,2.498091544796509,,
49,1,134,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,0.9375,2087.849609375,7.602166892433972,1973.0,2202.69921875,7.587310506022615,7.6974388049117,1.0,1.0,1.0,50.0,38,12-04-2019 05:45,3.141592653589793,2.6362321433056364,3.141592653589793,3.141592653589793
50,1,134,2,lexical,1,sansforgetica,True,Non-designer,False,arial,1.0,2077.6974999999998,7.566918557530769,1637.095,2518.3,7.400678608674458,7.831339349683757,1.0,,,100.0,55,12-04-2019 05:45,3.141592653589793,3.141592653589793,,
51,1,134,2,recognition,2,sansforgetica,True,Non-designer,False,arial,1.0,1959.4375,7.534838333308645,1680.25,2238.625,7.4266978708500755,7.713617117086904,1.0,1.0,1.0,100.0,55,12-04-2019 05:45,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
52,1,135,1,lexical,1,arial,True,Non-designer,False,arial,0.75,3278.9,7.817873976622245,1408.9,5148.9,7.250564537059231,8.546538378610702,0.9,,,100.0,77,12-04-2019 03:38,2.498091544796509,2.0943951023931953,,
53,1,135,1,recognition,2,arial,True,Non-designer,False,arial,0.9375,2309.9609375,7.7167105844156785,2326.125,2293.796875,7.751959071961391,7.737963747561372,0.9375,0.875,1.0,100.0,77,12-04-2019 03:38,2.6362321433056364,2.6362321433056364,2.4188584057763776,3.141592653589793
54,1,135,2,lexical,1,arial,True,Non-designer,False,sansforgetica,0.9,3641.09375,8.005645119664486,1773.9,5508.2875,7.480935791494894,8.614009055290987,0.9999999999999999,,,50.0,82,12-04-2019 03:38,3.1415926237874707,2.498091544796509,,
55,1,135,2,recognition,2,arial,True,Non-designer,False,sansforgetica,0.9375,2476.125,7.784660946720482,2200.5,2751.75,7.696439886251146,7.919992351903501,0.9296875,1.0,0.84375,50.0,82,12-04-2019 03:38,2.604842476361082,2.6362321433056364,3.141592653589793,2.3288370922211326
56,1,136,1,lexical,1,sansforgetica,True,Non-designer,False,sansforgetica,1.0,2942.45,7.919380661196027,2508.4,3376.5,7.827400378668866,8.124594949014897,1.0,,,25.0,71,12-04-2019 03:11,3.141592653589793,3.141592653589793,,
57,1,136,1,recognition,2,sansforgetica,True,Non-designer,False,sansforgetica,1.0,1921.40625,7.532462445448281,1845.25,1997.5625,7.520370048650162,7.599682966262325,1.0,1.0,1.0,25.0,71,12-04-2019 03:11,3.141592653589793,3.141592653589793,3.141592653589793,3.141592653589793
