first,,,arial,arial,arial,arial,arial,arial,arial,arial,arial,arial,arial,arial,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica,sansforgetica
metric,,,RT,RT,RT_word,RT_word,RT_nonword,RT_nonword,AUC,AUC,AUC_word,AUC_word,AUC_nonword,AUC_nonword,RT,RT,RT_word,RT_word,RT_nonword,RT_nonword,AUC,AUC,AUC_word,AUC_word,AUC_nonword,AUC_nonword
stat,,,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM,mean,SEM
sid,type,font,,,,,,,,,,,,,,,,,,,,,,,,
1,lexical,arial,3857.291,886.2255869118916,,,,,0.9605,0.00830324500126429,,,,,2302.06914893617,107.69794702164107,,,,,0.9851063829787235,0.003701667754563354,,,,
1,lexical,sansforgetica,3169.078,150.61420123817092,,,,,0.9712000000000001,0.007292098043605214,,,,,3138.9595744680846,379.720148450555,,,,,0.9840425531914894,0.005291324077826372,,,,
1,recognition,arial,2981.4325,183.75999550975422,,,3205.6075,262.79860421562097,0.9009375,0.016620758147661653,0.886875,0.017630028953985508,0.914375,0.019780564376195547,2317.259308510638,89.87768661291109,,,2341.1170212765956,96.79133143494604,0.8969414893617021,0.01298144498271985,0.8902925531914894,0.019312792272783885,0.9049202127659575,0.016543522664049702
1,recognition,sansforgetica,2707.8125,131.85161228679593,,,2847.3725,158.4685986361304,0.88875,0.015771886113640075,0.87625,0.017631611511424467,0.904375,0.018197865497729927,2758.8949468085107,106.33266877172792,,,3025.7127659574467,152.04180556662226,0.9162234042553191,0.013698979978171032,0.8936170212765957,0.02354512128939598,0.9434840425531915,0.011231543613364373
2,lexical,arial,2873.6241935483877,229.90698369089165,,,,,0.9438709677419356,0.013992906034366264,,,,,2480.3975,119.51078271699392,,,,,0.9645833333333333,0.007865654859282117,,,,
2,lexical,sansforgetica,3078.2685483870973,219.22451724772597,,,,,0.9446774193548387,0.015073796508899909,,,,,3214.453333333333,146.89995271806163,,,,,0.9610000000000002,0.008212227345008278,,,,
2,recognition,arial,2573.310483870968,109.72979554489305,,,2747.826612903226,146.3784379817803,0.8508064516129032,0.01561746835331783,0.8442540322580645,0.019289404452666085,0.8629032258064516,0.018826890952541225,2593.61875,86.87392283428662,,,2784.33125,114.06769221697512,0.8842447916666667,0.016485708163395008,0.8786458333333333,0.01942766197582681,0.884375,0.019187745563308364
2,recognition,sansforgetica,2943.5383064516127,111.50426700323113,,,3239.8649193548385,168.02636092150135,0.8862147177419355,0.01598909494786371,0.8966733870967742,0.019317452054653766,0.8775201612903226,0.018784924549984098,21521.913541666665,18959.34489894137,,,40659.5,37923.565210736015,0.8291666666666667,0.01592281793444236,0.8296875,0.01950324616704255,0.8328125,0.019466435535677538
